,MW on reserve segment
"1,1",1486.00
"1,2",1426.00
"1,3",1399.00
"1,4",1388.00
"1,5",1384.00
"1,6",1400.00
"1,7",1454.00
"1,8",1558.00
"1,9",1635.00
"1,10",1645.00
"1,11",1647.00
"1,12",1643.00
"1,13",1624.00
"1,14",1604.00
"1,15",1584.00
"1,16",1563.00
"1,17",1554.00
"1,18",1566.00
"1,19",1623.00
"1,20",1624.00
"1,21",1587.00
"1,22",1557.00
"1,23",1512.00
"1,24",1443.00
"2,1",1486.00
"2,2",1426.00
"2,3",1399.00
"2,4",1388.00
"2,5",1384.00
"2,6",1400.00
"2,7",1454.00
"2,8",1558.00
"2,9",1635.00
"2,10",1645.00
"2,11",1647.00
"2,12",1643.00
"2,13",1624.00
"2,14",1604.00
"2,15",1584.00
"2,16",1563.00
"2,17",1554.00
"2,18",1566.00
"2,19",1623.00
"2,20",1624.00
"2,21",1587.00
"2,22",1557.00
"2,23",1512.00
"2,24",1443.00
"3,1",1486.00
"3,2",1426.00
"3,3",1399.00
"3,4",1388.00
"3,5",1384.00
"3,6",1400.00
"3,7",1454.00
"3,8",1558.00
"3,9",1635.00
"3,10",1645.00
"3,11",1647.00
"3,12",1643.00
"3,13",1624.00
"3,14",1604.00
"3,15",1584.00
"3,16",1563.00
"3,17",1554.00
"3,18",1566.00
"3,19",1623.00
"3,20",1624.00
"3,21",1587.00
"3,22",1557.00
"3,23",1512.00
"3,24",1443.00
"4,1",1486.00
"4,2",1426.00
"4,3",1399.00
"4,4",1388.00
"4,5",1384.00
"4,6",1400.00
"4,7",1454.00
"4,8",1558.00
"4,9",1635.00
"4,10",1645.00
"4,11",1647.00
"4,12",1643.00
"4,13",1624.00
"4,14",1604.00
"4,15",1584.00
"4,16",1563.00
"4,17",1554.00
"4,18",1566.00
"4,19",1623.00
"4,20",1624.00
"4,21",1587.00
"4,22",1557.00
"4,23",1512.00
"4,24",1443.00
"5,1",1486.00
"5,2",1426.00
"5,3",1399.00
"5,4",1388.00
"5,5",1384.00
"5,6",1400.00
"5,7",1454.00
"5,8",1558.00
"5,9",1635.00
"5,10",1645.00
"5,11",1647.00
"5,12",1643.00
"5,13",1624.00
"5,14",1604.00
"5,15",1584.00
"5,16",1563.00
"5,17",1554.00
"5,18",1566.00
"5,19",1623.00
"5,20",1624.00
"5,21",1587.00
"5,22",1557.00
"5,23",1512.00
"5,24",1443.00
"6,1",1486.00
"6,2",1426.00
"6,3",1399.00
"6,4",1388.00
"6,5",1384.00
"6,6",1400.00
"6,7",1454.00
"6,8",1558.00
"6,9",1635.00
"6,10",1645.00
"6,11",1647.00
"6,12",1643.00
"6,13",1624.00
"6,14",1604.00
"6,15",1584.00
"6,16",1563.00
"6,17",1554.00
"6,18",1566.00
"6,19",1623.00
"6,20",1624.00
"6,21",1587.00
"6,22",1557.00
"6,23",1512.00
"6,24",1443.00
"7,1",1486.00
"7,2",1426.00
"7,3",1399.00
"7,4",1388.00
"7,5",1384.00
"7,6",1400.00
"7,7",1454.00
"7,8",1558.00
"7,9",1635.00
"7,10",1645.00
"7,11",1647.00
"7,12",1643.00
"7,13",1624.00
"7,14",1604.00
"7,15",1584.00
"7,16",1563.00
"7,17",1554.00
"7,18",1566.00
"7,19",1623.00
"7,20",1624.00
"7,21",1587.00
"7,22",1557.00
"7,23",1512.00
"7,24",1443.00
"8,1",1486.00
"8,2",1426.00
"8,3",1399.00
"8,4",1388.00
"8,5",1384.00
"8,6",1400.00
"8,7",1454.00
"8,8",1553.36
"8,9",443.43
"8,10",91.93
"8,11",255.28
"8,12",287.61
"8,13",764.68
"8,14",983.80
"8,15",1448.13
"8,16",1563.00
"8,17",1554.00
"8,18",1566.00
"8,19",898.45
"8,20",935.92
"8,21",1587.00
"8,22",1557.00
"8,23",1512.00
"8,24",1443.00
"9,1",1486.00
"9,2",1426.00
"9,3",1399.00
"9,4",1388.00
"9,5",1384.00
"9,6",1400.00
"9,7",1454.00
"9,8",0
"9,9",0
"9,10",0
"9,11",0
"9,12",0
"9,13",0
"9,14",0
"9,15",0
"9,16",1032.50
"9,17",1222.99
"9,18",850.25
"9,19",0
"9,20",0
"9,21",533.20
"9,22",1557.00
"9,23",1512.00
"9,24",1443.00
"10,1",939.30
"10,2",1426.00
"10,3",1399.00
"10,4",1388.00
"10,5",1384.00
"10,6",1400.00
"10,7",1454.00
"10,8",0
"10,9",0
"10,10",0
"10,11",0
"10,12",0
"10,13",0
"10,14",0
"10,15",0
"10,16",0
"10,17",0
"10,18",0
"10,19",0
"10,20",0
"10,21",0
"10,22",1276.49
"10,23",1512.00
"10,24",1443.00
