Gen_Index,commit_init,time_up_init,time_down_init
General Foods 1 NUG,0,0,100
Kent CT 2,0,0,100
Kent CT 1,0,0,100
LGP NUG (Logan),0,0,100
Kinsley Landfill,0,0,100
Cogentrix Portsmouth 2 (Lk.Kingman),0,0,100
Cogentrix Portsmouth 1 (Lk.Kingman),0,0,100
PCLP1 NUG,0,0,100
Gilberton NUG,0,0,100
Harrisburg NUG,0,0,100
IUP NUG,0,0,100
Colver NUG,0,0,100
Grant Town,0,0,100
South River NUG,0,0,100
Mt Carmel Cogen (FosterWheeler),0,0,100
Cogentrix Hopewell 2 (James River),0,0,100
Cogentrix Hopewell 1 (James River),0,0,100
Edgecombe 2 (Rocky Mt),0,0,100
Edgecombe 1 (Rocky Mt),0,0,100
Camden County RR NUG,0,0,100
CPGP NUG (Chambers/Carneys PT),0,0,100
Ebensburg NUG,0,0,100
Baltimore Resco NUG (Bresco),0,0,100
Hopewell Cogen 1 (HCF),0,0,100
Cambria County NUG,0,0,100
Essex County RR NUG (Covanta),0,0,100
AES Beaver,0,0,100
Warrior Run,0,0,100
Del Resource Mgmt Inc NUG,0,0,100
Camden COGEN,0,0,100
Hopewell Coal (Polyester),0,0,100
Altavista (Hall Branch),0,0,100
Southampton 1,0,0,100
Kenilworth NUG,0,0,100
Hazelton LM 200,0,0,100
Hazelton LM 400,0,0,100
Hazelton GT 100,0,0,100
Hazelton LM 300,0,0,100
Big Sandy 1,0,0,100
Big Sandy (AEP) 2,0,0,100
Big Sandy 4,0,0,100
Big Sandy (AEP) 1,0,0,100
Big Sandy 5,0,0,100
Big Sandy 3,0,0,100
Big Sandy 6,0,0,100
Big Sandy 2,0,0,100
Barkley 3,0,0,100
Barkley 2,0,0,100
Barkley 1,0,0,100
Barkley 4,0,0,100
Elmer Smith 1,0,0,100
Elmer Smith 2,0,0,100
Wolf Creek 6,0,0,100
Wolf Creek 5,0,0,100
Wolf Creek 4,0,0,100
Wolf Creek 1,0,0,100
Wolf Creek 2,0,0,100
Wolf Creek 3,0,0,100
Cooper 2,0,0,100
Cooper 1,0,0,100
Dale 2,0,0,100
Dale 3,0,0,100
Dale 4,0,0,100
Dale 1,0,0,100
Charles Crane CT 1,0,0,100
Charles Crane 1,0,0,100
Charles Crane 2,0,0,100
Gould St 3,0,0,100
Herbert Wagner 4,0,0,100
Herbert Wagner 2,0,0,100
Herbert Wagner 3,0,0,100
Herbert Wagner 1,0,0,100
Herbert Wagner CT 1,0,0,100
Notch Cliff 3,0,0,100
Notch Cliff 2,0,0,100
Notch Cliff 5,0,0,100
Notch Cliff 7,0,0,100
Notch Cliff 6,0,0,100
Notch Cliff 8,0,0,100
Notch Cliff 1,0,0,100
Notch Cliff 4,0,0,100
Perryman 2,0,0,100
Perryman 51,0,0,100
Perryman 1,0,0,100
Perryman 4,0,0,100
Perryman 3,0,0,100
Philadelphia Road 4,0,0,100
Philadelphia Road 1,0,0,100
Philadelphia Road 3,0,0,100
Philadelphia Road 2,0,0,100
Riverside 7,0,0,100
Riverside 1 (Zelda 1),0,0,100
Riverside 2 (Zelda 2),0,0,100
Riverside 8,0,0,100
Riverside 6,0,0,100
Riverside 3 (Zelda 3),0,0,100
Riverside 4,0,0,100
Westport 5,0,0,100
Crisfield 14,0,0,100
Vienna 10,0,0,100
Vienna 08,0,0,100
Deep Creek 2,0,0,100
Deep Creek 1,0,0,100
Chalk Point CT 1,0,0,100
Chalk Point SMECO CT,0,0,100
Chalk Point CT 2,0,0,100
Chalk Point CT 3,0,0,100
Chalk Point 2,0,0,100
Chalk Point 3,0,0,100
Chalk Point CT 6,0,0,100
Chalk Point CT 4,0,0,100
Chalk Point 4,0,0,100
Chalk Point 1,0,0,100
Chalk Point CT 5,0,0,100
Dickerson CT,0,0,100
Dickerson H CT 2,0,0,100
Dickerson 1,0,0,100
Dickerson 3,0,0,100
Dickerson H CT 1,0,0,100
Dickerson 2,0,0,100
Morgantown CT 5,0,0,100
Morgantown CT 4,0,0,100
Morgantown CT 6,0,0,100
Morgantown CT 3,0,0,100
Morgantown CT 2,0,0,100
Morgantown 2,0,0,100
Morgantown 1,0,0,100
Morgantown CT 1,0,0,100
Conowingo 10,0,0,100
Conowingo 01,0,0,100
Conowingo 11,0,0,100
Conowingo 09,0,0,100
Conowingo 07,0,0,100
Conowingo 04,0,0,100
Conowingo 05,0,0,100
Conowingo 06,0,0,100
Conowingo 02,0,0,100
Conowingo 08,0,0,100
Conowingo 03,0,0,100
Easton 12,0,0,100
Easton 11,0,0,100
Easton 07,0,0,100
Easton101,0,0,100
Easton 13,0,0,100
Easton 10,0,0,100
Easton102,0,0,100
Easton 14,0,0,100
Easton 08,0,0,100
Easton 09,0,0,100
Berr Sprg 12,0,0,100
Berr Sprg 09,0,0,100
Berr Sprg 01,0,0,100
Berr Sprg 02,0,0,100
Berr Sprg 05,0,0,100
Berr Sprg 07,0,0,100
Berr Sprg 04,0,0,100
Berr Sprg 10,0,0,100
Berr Sprg 11,0,0,100
Berr Sprg 08,0,0,100
Berr Sprg 06,0,0,100
Berr Sprg 03,0,0,100
Buchanan 10,0,0,100
Buchanan 01,0,0,100
Buchanan 06,0,0,100
Buchanan 05,0,0,100
Buchanan 04,0,0,100
Buchanan 08,0,0,100
Buchanan 09,0,0,100
Buchanan 07,0,0,100
Buchanan 03,0,0,100
Buchanan 02,0,0,100
Constantine 2,0,0,100
Constantine 1,0,0,100
Constantine 4,0,0,100
Constantine 3,0,0,100
Mottville 1,0,0,100
Mottville 4,0,0,100
Mottville 2,0,0,100
Mottville 3,0,0,100
Clinton 1,0,0,100
England Diesel 4,0,0,100
England Diesel 2,0,0,100
England Diesel 3,0,0,100
England 2,0,0,100
England Diesel 1,0,0,100
England 1,0,0,100
England 3,0,0,100
Carll s Corner 1,0,0,100
Carll s Corner 2,0,0,100
Cedar Station 2,0,0,100
Cedar Station 1,0,0,100
Middle Station 1,0,0,100
Middle Station 3,0,0,100
Middle Station 2,0,0,100
Missouri Ave C,0,0,100
Missouri Ave B,0,0,100
Missouri Ave D,0,0,100
Deepwater 1,0,0,100
Deepwater 6/8,0,0,100
Werner C3,0,0,100
Werner C2,0,0,100
Werner C4,0,0,100
Werner C1,0,0,100
Oyster Creek 1,0,0,100
Sayreville C4,0,0,100
Sayreville C3,0,0,100
Sayreville C1,0,0,100
Sayreville C2,0,0,100
Gilbert 6,0,0,100
Gilbert C4,0,0,100
Gilbert C3,0,0,100
Gilbert C1,0,0,100
Gilbert 7,0,0,100
Gilbert 5,0,0,100
Gilbert 4,0,0,100
Gilbert C2,0,0,100
Gilbert CT 9,0,0,100
Gilbert 8CC,0,0,100
Bergen 3,0,0,100
Bergen 2CC,0,0,100
Bergen 1CC,0,0,100
Burlington 092,0,0,100
Burlington 093,0,0,100
Burlington 124,0,0,100
Burlington 091,0,0,100
Burlington 112,0,0,100
Burlington 123,0,0,100
Burlington 113,0,0,100
Burlington 008,0,0,100
Burlington 122,0,0,100
Burlington 111,0,0,100
Burlington 094,0,0,100
Burlington 114,0,0,100
Burlington 121,0,0,100
Edison 32,0,0,100
Edison 34,0,0,100
Edison 13,0,0,100
Edison 31,0,0,100
Edison 24,0,0,100
Edison 14,0,0,100
Edison 33,0,0,100
Edison 21,0,0,100
Edison 12,0,0,100
Edison 11,0,0,100
Edison 22,0,0,100
Edison 23,0,0,100
Essex 123,0,0,100
Essex 122,0,0,100
Essex 114,0,0,100
Essex 103,0,0,100
Essex 121,0,0,100
Essex 101,0,0,100
Essex 9,0,0,100
Essex 104,0,0,100
Essex 124,0,0,100
Essex 112,0,0,100
Essex 111,0,0,100
Essex 113,0,0,100
Essex 102,0,0,100
Hudson 2,0,0,100
Kearney 133,0,0,100
Kearney 132,0,0,100
Kearney 134,0,0,100
Kearney 142,0,0,100
Kearney 124,0,0,100
Kearney 131,0,0,100
Kearney 09,0,0,100
Kearney 122,0,0,100
Kearney 121,0,0,100
Kearney 141,0,0,100
Kearney 123,0,0,100
Linden 1,0,0,100
Linden 2,0,0,100
Linden 8,0,0,100
Linden 7,0,0,100
Linden 6,0,0,100
Linden 5,0,0,100
Mercer 1,0,0,100
Mercer 2,0,0,100
Mercer 3,0,0,100
National Park,0,0,100
Salem 1,0,0,100
Salem 3,0,0,100
Salem 2,0,0,100
Sewaren 1,0,0,100
Sewaren 2,0,0,100
Sewaren 6,0,0,100
Sewaren 3,0,0,100
Sewaren 4,0,0,100
Vineland CT 11,0,0,100
Gaston 4,0,0,100
Gaston 2,0,0,100
Gaston 1,0,0,100
Gaston 3,0,0,100
Roanoke Rapids 1,0,0,100
