timepoint,zone,wind,solar,curtailment
1,EAST,4.9653274220000005,0.0,0.0
1,WEST,2752.8678014372003,0.0,0.0
1,DC_BGE_PEP,54.16720824000001,0.0,0.0
1,VA_DOM,0.0,0.0,0.0
1,PA_METED_PPL,601.9331015670001,0.0,0.0
2,EAST,4.9653274220000005,0.0,0.0
2,WEST,2752.8678014372003,0.0,0.0
2,DC_BGE_PEP,54.16720824000001,0.0,0.0
2,VA_DOM,0.0,0.0,0.0
2,PA_METED_PPL,601.9331015670001,0.0,0.0
3,EAST,4.662710921,0.0,0.0
3,WEST,2585.0917111646004,0.0,0.0
3,DC_BGE_PEP,50.86593732,0.0,0.0
3,VA_DOM,0.0,0.0,0.0
3,PA_METED_PPL,565.2477284685,0.0,0.0
4,EAST,4.604930747999999,0.0,0.0
4,WEST,2553.0573327048,0.0,0.0
4,DC_BGE_PEP,50.23560816,0.0,0.0
4,VA_DOM,0.0,0.0,0.0
4,PA_METED_PPL,558.243195678,0.0,0.0
5,EAST,4.493588759,0.0,0.0
5,WEST,2491.3273096034,0.0,0.0
5,DC_BGE_PEP,49.02096828,0.0,0.0
5,VA_DOM,0.0,0.0,0.0
5,PA_METED_PPL,544.7455100115,0.0,0.0
6,EAST,4.351281242000001,0.0,0.0
6,WEST,2412.4294347692003,0.0,0.0
6,DC_BGE_PEP,47.46852264,0.0,0.0
6,VA_DOM,0.0,0.0,0.0
6,PA_METED_PPL,527.493957837,0.0,0.0
7,EAST,4.1898741170000005,0.0,0.0
7,WEST,2322.9423899942003,0.0,0.0
7,DC_BGE_PEP,45.70771764,0.0,0.0
7,VA_DOM,0.0,0.0,0.0
7,PA_METED_PPL,507.9270122745,0.0,0.0
8,EAST,4.1898741170000005,0.0,0.0
8,WEST,2322.9423899942003,0.0,0.0
8,DC_BGE_PEP,45.70771764,0.0,0.0
8,VA_DOM,0.0,0.0,0.0
8,PA_METED_PPL,507.9270122745,0.0,0.0
9,EAST,3.8732132120000005,31.026663377000002,-8.881784197001252e-16
9,WEST,2147.3798267912002,8.400232006,0.0
9,DC_BGE_PEP,42.25323504000001,4.756328309,0.0
9,VA_DOM,0.0,3.2730954929999996,0.0
9,PA_METED_PPL,469.5390743820001,3.7936531639999997,0.0
10,EAST,3.2095532589999998,82.08982794760001,3.552713678800501e-15
10,WEST,1779.4346823033998,22.2251935928,0.0
10,DC_BGE_PEP,35.01330828,12.584214029200002,7.105427357601002e-15
10,VA_DOM,0.0,8.6599014084,0.0
10,PA_METED_PPL,389.08538826149993,10.0371842032,0.0
11,EAST,2.816069443,57.111433542700006,-3.552713678800501e-15
11,WEST,1561.2801004618,15.462484190599998,0.0
11,DC_BGE_PEP,30.72075756,8.7550738159,3.552713678800501e-15
11,VA_DOM,0.0,6.024855894299999,0.0
11,PA_METED_PPL,341.3844183855,6.9830573764,0.0
12,EAST,2.691680233,37.278115782200004,-4.440892098500626e-16
12,WEST,1492.3164608158002,10.0927649716,0.0
12,DC_BGE_PEP,29.36378436,5.7146640373999995,3.552713678800501e-15
12,VA_DOM,0.0,3.9325798997999994,0.0
12,PA_METED_PPL,326.3050537005,4.5580228904,0.0
13,EAST,2.688325849,45.34377420040001,1.7763568394002505e-15
13,WEST,1490.4567293374,12.2764803512,0.0
13,DC_BGE_PEP,29.32719108,6.9511140868000005,-3.552713678800501e-15
13,VA_DOM,0.0,4.7834503236,0.0
13,PA_METED_PPL,325.89841087649995,5.5442169328,0.0
14,EAST,2.688325849,55.06622597810001,1.7763568394002505e-15
14,WEST,1490.4567293374,14.908759871799997,0.0
14,DC_BGE_PEP,29.32719108,8.441547397699999,0.0
14,VA_DOM,0.0,5.8091008329,0.0
14,PA_METED_PPL,325.89841087649995,6.7329883291999995,0.0
15,EAST,2.991369062,39.75340925440001,-3.1086244689504383e-15
15,WEST,1658.4693965012002,10.762931763200001,0.0
15,DC_BGE_PEP,32.63311704,6.094121804800001,0.0
15,VA_DOM,0.0,4.1937060096000005,0.0
15,PA_METED_PPL,362.635513107,4.860678860800001,0.0
16,EAST,3.258335025,21.195353060100004,8.881784197001252e-16
16,WEST,1806.4801803150003,5.7384798678,0.0
16,DC_BGE_PEP,35.545473,3.2492071917,0.0
16,VA_DOM,0.0,2.2359611709,0.0
16,PA_METED_PPL,394.99906871250005,2.5915715532,0.0
17,EAST,3.7841018820000003,20.816632883000004,1.3322676295501878e-15
17,WEST,2097.9748852332004,5.635944274,0.0
