,hour,LMP
DC_BGE_PEP,1,24.94
DC_BGE_PEP,2,21.86
DC_BGE_PEP,3,21.92
DC_BGE_PEP,4,22.03
DC_BGE_PEP,5,21.70
DC_BGE_PEP,6,21.70
DC_BGE_PEP,7,21.70
DC_BGE_PEP,8,22.67
DC_BGE_PEP,9,23.26
DC_BGE_PEP,10,22.94
DC_BGE_PEP,11,24.02
DC_BGE_PEP,12,25.04
DC_BGE_PEP,13,23.83
DC_BGE_PEP,14,24.26
DC_BGE_PEP,15,23.40
DC_BGE_PEP,16,23.50
DC_BGE_PEP,17,22.80
DC_BGE_PEP,18,22.71
DC_BGE_PEP,19,55.12
DC_BGE_PEP,20,128.48
DC_BGE_PEP,21,36.21
DC_BGE_PEP,22,27.37
DC_BGE_PEP,23,22.40
DC_BGE_PEP,24,21.86
EAST,1,21.70
EAST,2,21.70
EAST,3,21.70
EAST,4,21.56
EAST,5,20.93
EAST,6,21.01
EAST,7,21.01
EAST,8,21.27
EAST,9,21.70
EAST,10,21.70
EAST,11,21.70
EAST,12,21.70
EAST,13,21.70
EAST,14,21.60
EAST,15,21.65
EAST,16,21.65
EAST,17,21.56
EAST,18,21.70
EAST,19,35.82
EAST,20,115.11
EAST,21,23.28
EAST,22,21.84
EAST,23,21.70
EAST,24,21.10
PA_METED_PPL,1,24.18
PA_METED_PPL,2,21.86
PA_METED_PPL,3,21.92
PA_METED_PPL,4,22.03
PA_METED_PPL,5,21.70
PA_METED_PPL,6,21.70
PA_METED_PPL,7,21.70
PA_METED_PPL,8,21.27
PA_METED_PPL,9,22.65
PA_METED_PPL,10,22.65
PA_METED_PPL,11,22.65
PA_METED_PPL,12,22.65
PA_METED_PPL,13,22.65
PA_METED_PPL,14,22.65
PA_METED_PPL,15,22.65
PA_METED_PPL,16,22.65
PA_METED_PPL,17,22.65
PA_METED_PPL,18,21.78
PA_METED_PPL,19,37.64
PA_METED_PPL,20,116.94
PA_METED_PPL,21,24.23
PA_METED_PPL,22,23.66
PA_METED_PPL,23,22.40
PA_METED_PPL,24,21.86
VA_DOM,1,24.94
VA_DOM,2,21.86
VA_DOM,3,21.92
VA_DOM,4,22.03
VA_DOM,5,21.70
VA_DOM,6,21.70
VA_DOM,7,21.70
VA_DOM,8,22.67
VA_DOM,9,23.26
VA_DOM,10,22.94
VA_DOM,11,24.02
VA_DOM,12,25.04
VA_DOM,13,23.83
VA_DOM,14,24.26
VA_DOM,15,23.40
VA_DOM,16,23.50
VA_DOM,17,22.80
VA_DOM,18,22.71
VA_DOM,19,55.12
VA_DOM,20,128.48
VA_DOM,21,36.21
VA_DOM,22,27.37
VA_DOM,23,22.40
VA_DOM,24,21.86
WEST,1,24.94
WEST,2,21.86
WEST,3,21.92
WEST,4,22.03
WEST,5,21.70
WEST,6,21.70
WEST,7,21.70
WEST,8,22.67
WEST,9,23.26
WEST,10,22.94
WEST,11,24.02
WEST,12,25.04
WEST,13,23.83
WEST,14,24.26
WEST,15,23.40
WEST,16,23.50
WEST,17,22.80
WEST,18,22.71
WEST,19,55.12
WEST,20,128.48
WEST,21,36.21
WEST,22,27.37
WEST,23,22.40
WEST,24,21.86
