Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Held as Reserves (MW)
General Foods 1 NUG,1,0.0,0.0,0.0,0.0,149.0,0
General Foods 1 NUG,2,0.0,0.0,0.0,0.0,150.0,0
General Foods 1 NUG,3,0.0,0.0,0.0,0.0,151.0,0
General Foods 1 NUG,4,0.0,0.0,0.0,0.0,152.0,0
General Foods 1 NUG,5,0.0,0.0,0.0,0.0,153.0,0
General Foods 1 NUG,6,0.0,0.0,0.0,0.0,154.0,0
General Foods 1 NUG,7,0.0,0.0,0.0,0.0,155.0,0
General Foods 1 NUG,8,0.0,0.0,0.0,0.0,156.0,0
General Foods 1 NUG,9,0.0,0.0,0.0,0.0,157.0,0
General Foods 1 NUG,10,0.0,0.0,0.0,0.0,158.0,0
General Foods 1 NUG,11,0.0,0.0,0.0,0.0,159.0,0
General Foods 1 NUG,12,0.0,0.0,0.0,0.0,160.0,0
General Foods 1 NUG,13,0.0,0.0,0.0,0.0,161.0,0
General Foods 1 NUG,14,0.0,0.0,0.0,0.0,162.0,0
General Foods 1 NUG,15,0.0,0.0,0.0,0.0,163.0,0
General Foods 1 NUG,16,0.0,0.0,0.0,0.0,164.0,0
General Foods 1 NUG,17,0.0,0.0,0.0,0.0,165.0,0
General Foods 1 NUG,18,0.0,0.0,0.0,0.0,166.0,0
General Foods 1 NUG,19,0.0,0.0,0.0,0.0,167.0,0
General Foods 1 NUG,20,0.0,0.0,0.0,0.0,168.0,0
General Foods 1 NUG,21,0.0,0.0,0.0,0.0,169.0,0
General Foods 1 NUG,22,0.0,0.0,0.0,0.0,170.0,0
General Foods 1 NUG,23,0.0,0.0,0.0,0.0,171.0,0
General Foods 1 NUG,24,0.0,0.0,0.0,0.0,172.0,0
Kent CT 2,1,0.0,0.0,0.0,0.0,149.0,0
Kent CT 2,2,0.0,0.0,0.0,0.0,150.0,0
Kent CT 2,3,0.0,0.0,0.0,0.0,151.0,0
Kent CT 2,4,0.0,0.0,0.0,0.0,152.0,0
Kent CT 2,5,0.0,0.0,0.0,0.0,153.0,0
Kent CT 2,6,0.0,0.0,0.0,0.0,154.0,0
Kent CT 2,7,0.0,0.0,0.0,0.0,155.0,0
Kent CT 2,8,0.0,0.0,0.0,0.0,156.0,0
Kent CT 2,9,0.0,0.0,0.0,0.0,157.0,0
Kent CT 2,10,0.0,0.0,0.0,0.0,158.0,0
Kent CT 2,11,0.0,0.0,0.0,0.0,159.0,0
Kent CT 2,12,0.0,0.0,0.0,0.0,160.0,0
Kent CT 2,13,0.0,0.0,0.0,0.0,161.0,0
Kent CT 2,14,0.0,0.0,0.0,0.0,162.0,0
Kent CT 2,15,0.0,0.0,0.0,0.0,163.0,0
Kent CT 2,16,0.0,0.0,0.0,0.0,164.0,0
Kent CT 2,17,0.0,0.0,0.0,0.0,165.0,0
Kent CT 2,18,0.0,0.0,0.0,0.0,166.0,0
Kent CT 2,19,1.0,1.0,0.0,1.0,0.0,33.00
Kent CT 2,20,1.0,0.0,-0.0,2.0,0.0,33.00
Kent CT 2,21,1.0,-0.0,-0.0,3.0,0.0,33.00
Kent CT 2,22,1.0,-0.0,-0.0,4.0,0.0,33.00
Kent CT 2,23,1.0,-0.0,-0.0,5.0,0.0,33.00
Kent CT 2,24,1.0,-0.0,-0.0,6.0,0.0,33.00
Kent CT 1,1,0.0,0.0,0.0,0.0,149.0,0
Kent CT 1,2,0.0,0.0,0.0,0.0,150.0,0
Kent CT 1,3,0.0,0.0,0.0,0.0,151.0,0
Kent CT 1,4,0.0,0.0,0.0,0.0,152.0,0
Kent CT 1,5,0.0,0.0,0.0,0.0,153.0,0
Kent CT 1,6,0.0,0.0,0.0,0.0,154.0,0
Kent CT 1,7,0.0,0.0,0.0,0.0,155.0,0
Kent CT 1,8,0.0,0.0,0.0,0.0,156.0,0
Kent CT 1,9,0.0,0.0,0.0,0.0,157.0,0
Kent CT 1,10,0.0,0.0,0.0,0.0,158.0,0
Kent CT 1,11,0.0,0.0,0.0,0.0,159.0,0
Kent CT 1,12,0.0,0.0,0.0,0.0,160.0,0
Kent CT 1,13,0.0,0.0,0.0,0.0,161.0,0
Kent CT 1,14,0.0,0.0,0.0,0.0,162.0,0
Kent CT 1,15,0.0,0.0,0.0,0.0,163.0,0
Kent CT 1,16,0.0,0.0,0.0,0.0,164.0,0
Kent CT 1,17,0.0,0.0,0.0,0.0,165.0,0
Kent CT 1,18,0.0,0.0,0.0,0.0,166.0,0
Kent CT 1,19,0.0,0.0,0.0,0.0,167.0,0
Kent CT 1,20,0.0,0.0,0.0,0.0,168.0,0
Kent CT 1,21,0.0,0.0,0.0,0.0,169.0,0
Kent CT 1,22,0.0,0.0,0.0,0.0,170.0,0
Kent CT 1,23,0.0,0.0,0.0,0.0,171.0,0
Kent CT 1,24,0.0,0.0,0.0,0.0,172.0,0
LGP NUG (Logan),1,1.0,0.0,0.0,49.0,0.0,131.40
LGP NUG (Logan),2,1.0,-0.0,-0.0,50.0,0.0,131.40
LGP NUG (Logan),3,1.0,-0.0,-0.0,51.0,0.0,131.40
LGP NUG (Logan),4,1.0,-0.0,-0.0,52.0,0.0,131.40
LGP NUG (Logan),5,1.0,-0.0,-0.0,53.0,0.0,131.40
LGP NUG (Logan),6,1.0,-0.0,-0.0,54.0,0.0,131.40
LGP NUG (Logan),7,1.0,-0.0,-0.0,55.0,0.0,131.40
LGP NUG (Logan),8,1.0,-0.0,-0.0,56.0,0.0,131.40
LGP NUG (Logan),9,1.0,0.0,-0.0,57.0,0.0,131.40
LGP NUG (Logan),10,1.0,-0.0,-0.0,58.0,0.0,131.40
LGP NUG (Logan),11,1.0,-0.0,-0.0,59.0,0.0,131.40
LGP NUG (Logan),12,1.0,-0.0,-0.0,60.0,0.0,131.40
LGP NUG (Logan),13,1.0,-0.0,-0.0,61.0,0.0,131.40
LGP NUG (Logan),14,1.0,-0.0,-0.0,62.0,0.0,131.40
LGP NUG (Logan),15,1.0,-0.0,-0.0,63.0,0.0,131.40
LGP NUG (Logan),16,1.0,-0.0,-0.0,64.0,0.0,131.40
LGP NUG (Logan),17,1.0,-0.0,-0.0,65.0,0.0,131.40
LGP NUG (Logan),18,1.0,-0.0,-0.0,66.0,0.0,131.40
LGP NUG (Logan),19,1.0,-0.0,-0.0,67.0,0.0,131.40
LGP NUG (Logan),20,1.0,-0.0,-0.0,68.0,0.0,131.40
LGP NUG (Logan),21,1.0,-0.0,-0.0,69.0,0.0,131.40
LGP NUG (Logan),22,1.0,-0.0,-0.0,70.0,0.0,131.40
LGP NUG (Logan),23,1.0,-0.0,-0.0,71.0,0.0,131.40
LGP NUG (Logan),24,1.0,-0.0,-0.0,72.0,0.0,131.40
Kinsley Landfill,1,-0.0,-0.0,0.0,0.0,149.0,0
Kinsley Landfill,2,0.0,-0.0,-0.0,0.0,150.0,0
Kinsley Landfill,3,-0.0,-0.0,-0.0,0.0,151.0,0
Kinsley Landfill,4,0.0,-0.0,-0.0,0.0,152.0,0
Kinsley Landfill,5,0.0,-0.0,-0.0,0.0,153.0,0
Kinsley Landfill,6,0.0,-0.0,-0.0,0.0,154.0,0
Kinsley Landfill,7,0.0,-0.0,-0.0,0.0,155.0,0
Kinsley Landfill,8,0.0,-0.0,-0.0,0.0,156.0,0
Kinsley Landfill,9,0.0,-0.0,-0.0,0.0,157.0,0
Kinsley Landfill,10,0.0,-0.0,-0.0,0.0,158.0,0
Kinsley Landfill,11,0.0,-0.0,-0.0,0.0,159.0,0
Kinsley Landfill,12,0.0,-0.0,-0.0,0.0,160.0,0
Kinsley Landfill,13,0.0,-0.0,-0.0,0.0,161.0,0
Kinsley Landfill,14,-0.0,-0.0,-0.0,0.0,162.0,0
Kinsley Landfill,15,0.0,-0.0,-0.0,0.0,163.0,0
Kinsley Landfill,16,0.0,0.0,-0.0,0.0,164.0,0
Kinsley Landfill,17,0.0,-0.0,-0.0,0.0,165.0,0
Kinsley Landfill,18,0.0,-0.0,-0.0,0.0,166.0,0
Kinsley Landfill,19,0.0,-0.0,-0.0,0.0,167.0,0
Kinsley Landfill,20,-0.0,0.0,-0.0,0.0,168.0,0
Kinsley Landfill,21,0.0,-0.0,-0.0,0.0,169.0,0
Kinsley Landfill,22,0.0,-0.0,-0.0,0.0,170.0,0
Kinsley Landfill,23,0.0,-0.0,-0.0,0.0,171.0,0
Kinsley Landfill,24,0.0,-0.0,-0.0,0.0,172.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),1,0.0,0.0,0.0,0.0,25.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),2,0.0,0.0,0.0,0.0,26.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),3,0.0,0.0,0.0,0.0,27.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),4,0.0,0.0,0.0,0.0,28.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),5,0.0,0.0,0.0,0.0,29.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),6,0.0,0.0,0.0,0.0,30.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),7,1.0,1.0,0.0,1.0,0.0,11.50
Cogentrix Portsmouth 2 (Lk.Kingman),8,1.0,0.0,-0.0,2.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),9,1.0,-0.0,-0.0,3.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),10,1.0,-0.0,-0.0,4.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),11,1.0,-0.0,-0.0,5.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),12,1.0,-0.0,-0.0,6.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),13,1.0,-0.0,-0.0,7.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),14,1.0,-0.0,-0.0,8.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),15,1.0,-0.0,-0.0,9.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),16,1.0,-0.0,-0.0,10.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),17,1.0,-0.0,-0.0,11.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),18,1.0,-0.0,-0.0,12.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),19,1.0,0.0,-0.0,13.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),20,1.0,-0.0,-0.0,14.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),21,1.0,-0.0,-0.0,15.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),22,1.0,-0.0,-0.0,16.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),23,1.0,-0.0,-0.0,17.0,0.0,0
Cogentrix Portsmouth 2 (Lk.Kingman),24,1.0,-0.0,-0.0,18.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),1,0.0,0.0,0.0,0.0,25.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),2,0.0,0.0,0.0,0.0,26.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),3,0.0,0.0,0.0,0.0,27.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),4,0.0,0.0,0.0,0.0,28.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),5,0.0,0.0,0.0,0.0,29.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),6,0.0,0.0,0.0,0.0,30.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),7,1.0,1.0,0.0,1.0,0.0,11.50
Cogentrix Portsmouth 1 (Lk.Kingman),8,1.0,0.0,-0.0,2.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),9,1.0,-0.0,-0.0,3.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),10,1.0,-0.0,-0.0,4.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),11,1.0,-0.0,-0.0,5.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),12,1.0,-0.0,-0.0,6.0,0.0,0
Cogentrix Portsmouth 1 (Lk.Kingman),13,1.0,-0.0,-0.0,7.0,0.0,0
