timepoint,Gen_Index,available
1,General Foods 1 NUG,0.0
1,Kent CT 2,1.0
1,Kent CT 1,0.0
1,LGP NUG (Logan),1.0
1,Kinsley Landfill,0.333333333
1,Cogentrix Portsmouth 2 (Lk.Kingman),1.0
1,Cogentrix Portsmouth 1 (Lk.Kingman),1.0
1,PCLP1 NUG,1.0
1,Gilberton NUG,1.0
1,Harrisburg NUG,0.636363636
1,IUP NUG,1.0
1,Colver NUG,0.981818182
1,Grant Town,0.901234562
1,South River NUG,0.0
1,Mt Carmel Cogen (FosterWheeler),1.0
1,Cogentrix Hopewell 2 (James River),1.0
1,Cogentrix Hopewell 1 (James River),1.0
1,Edgecombe 2 (Rocky Mt),1.0
1,Edgecombe 1 (Rocky Mt),1.0
1,Camden County RR NUG,0.52173913
1,CPGP NUG (Chambers/Carneys PT),1.0
1,Ebensburg NUG,1.0
1,Baltimore Resco NUG (Bresco),0.6315789470000001
1,Hopewell Cogen 1 (HCF),0.28075000000000006
1,Cambria County NUG,1.0
1,Essex County RR NUG (Covanta),1.0
1,AES Beaver,0.0
1,Warrior Run,1.0
1,Del Resource Mgmt Inc NUG,0.826666667
1,Camden COGEN,1.0
1,Hopewell Coal (Polyester),1.0
1,Altavista (Hall Branch),0.6349206350000001
1,Southampton 1,1.0
1,Kenilworth NUG,0.0
1,Hazelton LM 200,0.0
1,Hazelton LM 400,0.0
1,Hazelton GT 100,0.0
1,Hazelton LM 300,0.0
1,Big Sandy 1,0.0
1,Big Sandy (AEP) 2,0.975
1,Big Sandy 4,0.0
1,Big Sandy (AEP) 1,0.925266893
1,Big Sandy 5,0.0
1,Big Sandy 3,0.0
1,Big Sandy 6,0.0
1,Big Sandy 2,0.0
1,Barkley 3,0.0
1,Barkley 2,1.0
1,Barkley 1,1.0
1,Barkley 4,1.0
1,Elmer Smith 1,1.0
1,Elmer Smith 2,1.0
1,Wolf Creek 6,1.0
1,Wolf Creek 5,1.0
1,Wolf Creek 4,1.0
1,Wolf Creek 1,1.0
1,Wolf Creek 2,1.0
1,Wolf Creek 3,1.0
1,Cooper 2,0.884955733
1,Cooper 1,1.0
1,Dale 2,0.0
1,Dale 3,0.0
1,Dale 4,0.0
1,Dale 1,0.0
1,Charles Crane CT 1,1.0
1,Charles Crane 1,0.89
1,Charles Crane 2,1.0
1,Gould St 3,0.0
1,Herbert Wagner 4,0.75
1,Herbert Wagner 2,1.0
1,Herbert Wagner 3,1.0
1,Herbert Wagner 1,1.0
1,Herbert Wagner CT 1,1.0
1,Notch Cliff 3,0.0
1,Notch Cliff 2,0.0
1,Notch Cliff 5,0.0
1,Notch Cliff 7,0.0
1,Notch Cliff 6,0.0
1,Notch Cliff 8,0.0
1,Notch Cliff 1,0.0
1,Notch Cliff 4,0.0
1,Perryman 2,1.0
1,Perryman 51,1.0
1,Perryman 1,0.409836066
1,Perryman 4,1.0
1,Perryman 3,0.0
1,Philadelphia Road 4,1.0
1,Philadelphia Road 1,0.0
1,Philadelphia Road 3,1.0
1,Philadelphia Road 2,1.0
1,Riverside 7,0.0
1,Riverside 1 (Zelda 1),0.0
1,Riverside 2 (Zelda 2),1.0
1,Riverside 8,0.0
1,Riverside 6,0.0
1,Riverside 3 (Zelda 3),1.0
1,Riverside 4,0.0
1,Westport 5,0.0
1,Crisfield 14,0.6818182
1,Vienna 10,0.0
1,Vienna 08,0.0
1,Deep Creek 2,1.0
1,Deep Creek 1,1.0
1,Chalk Point CT 1,1.0
1,Chalk Point SMECO CT,0.0
1,Chalk Point CT 2,0.0
1,Chalk Point CT 3,0.0
1,Chalk Point 2,1.0
1,Chalk Point 3,0.0
1,Chalk Point CT 6,1.0
1,Chalk Point CT 4,0.0
1,Chalk Point 4,0.0
1,Chalk Point 1,1.0
1,Chalk Point CT 5,1.0
1,Dickerson CT,0.0
1,Dickerson H CT 2,0.0
1,Dickerson 1,1.0
1,Dickerson 3,1.0
1,Dickerson H CT 1,0.0
1,Dickerson 2,1.0
1,Morgantown CT 5,1.0
1,Morgantown CT 4,1.0
1,Morgantown CT 6,1.0
1,Morgantown CT 3,1.0
1,Morgantown CT 2,1.0
1,Morgantown 2,1.0
1,Morgantown 1,1.0
1,Morgantown CT 1,1.0
1,Conowingo 10,1.0
1,Conowingo 01,1.0
1,Conowingo 11,1.0
1,Conowingo 09,1.0
1,Conowingo 07,1.0
1,Conowingo 04,1.0
1,Conowingo 05,1.0
1,Conowingo 06,1.0
1,Conowingo 02,1.0
1,Conowingo 08,1.0
1,Conowingo 03,1.0
1,Easton 12,1.0
1,Easton 11,1.0
1,Easton 07,0.0
1,Easton101,0.0
1,Easton 13,1.0
1,Easton 10,1.0
1,Easton102,0.0
1,Easton 14,1.0
1,Easton 08,1.0
1,Easton 09,0.0
1,Berr Sprg 12,1.0
1,Berr Sprg 09,0.0
1,Berr Sprg 01,0.0
1,Berr Sprg 02,0.0
1,Berr Sprg 05,0.0
1,Berr Sprg 07,0.0
1,Berr Sprg 04,0.0
1,Berr Sprg 10,0.0
1,Berr Sprg 11,1.0
1,Berr Sprg 08,1.0
1,Berr Sprg 06,0.0
1,Berr Sprg 03,0.0
1,Buchanan 10,1.0
1,Buchanan 01,0.0
1,Buchanan 06,1.0
1,Buchanan 05,1.0
1,Buchanan 04,0.0
1,Buchanan 08,1.0
1,Buchanan 09,1.0
1,Buchanan 07,1.0
1,Buchanan 03,0.0
1,Buchanan 02,0.0
1,Constantine 2,0.0
1,Constantine 1,1.0
1,Constantine 4,1.0
1,Constantine 3,0.0
1,Mottville 1,1.0
1,Mottville 4,0.0
1,Mottville 2,0.0
