Gen_Index,zone,capacity,Ramp_Rate,Ramp_Start,Ramp_Shutdown
General Foods 1 NUG,EAST,16.1,3.2200000000000006,15.295,1.6100000000000003
Kent CT 2,EAST,44.0,8.8,41.8,4.4
Kent CT 1,EAST,44.0,8.8,41.8,4.4
LGP NUG (Logan),EAST,219.0,43.800000000000004,208.04999999999998,21.900000000000002
Kinsley Landfill,EAST,3.0,0.6000000000000001,2.8499999999999996,0.30000000000000004
Cogentrix Portsmouth 2 (Lk.Kingman),EAST,0.0,11.5,54.625,5.75
Cogentrix Portsmouth 1 (Lk.Kingman),EAST,0.0,11.5,54.625,5.75
PCLP1 NUG,EAST,116.0,23.200000000000003,110.19999999999999,11.600000000000001
Gilberton NUG,EAST,0.0,16.400000000000002,77.89999999999999,8.200000000000001
Harrisburg NUG,EAST,0.0,2.2,10.45,1.1
IUP NUG,EAST,0.0,3.6200000000000006,17.195,1.8100000000000003
Colver NUG,EAST,0.0,22.0,104.5,11.0
Grant Town,EAST,0.0,16.0,76.0,8.0
South River NUG,EAST,325.9,65.17999999999999,309.60499999999996,32.589999999999996
Mt Carmel Cogen (FosterWheeler),EAST,0.0,8.6,40.85,4.3
Cogentrix Hopewell 2 (James River),EAST,0.0,9.200000000000001,43.699999999999996,4.6000000000000005
Cogentrix Hopewell 1 (James River),EAST,0.0,9.200000000000001,43.699999999999996,4.6000000000000005
Edgecombe 2 (Rocky Mt),EAST,0.0,11.600000000000001,55.099999999999994,5.800000000000001
Edgecombe 1 (Rocky Mt),EAST,0.0,11.600000000000001,55.099999999999994,5.800000000000001
Camden County RR NUG,EAST,23.0,4.6000000000000005,21.849999999999998,2.3000000000000003
CPGP NUG (Chambers/Carneys PT),EAST,239.9,47.980000000000004,227.905,23.990000000000002
Ebensburg NUG,EAST,0.0,10.0,47.5,5.0
Baltimore Resco NUG (Bresco),EAST,0.0,11.4,54.15,5.7
Hopewell Cogen 1 (HCF),EAST,0.0,80.0,380.0,40.0
Cambria County NUG,EAST,0.0,17.6,83.6,8.8
Essex County RR NUG (Covanta),EAST,65.0,13.0,61.75,6.5
AES Beaver,EAST,125.1,25.02,118.84499999999998,12.51
Warrior Run,EAST,0.0,36.0,171.0,18.0
Del Resource Mgmt Inc NUG,EAST,75.0,15.0,71.25,7.5
Camden COGEN,EAST,159.0,31.8,151.04999999999998,15.9
Hopewell Coal (Polyester),EAST,0.0,12.600000000000001,59.849999999999994,6.300000000000001
Altavista (Hall Branch),EAST,0.0,12.600000000000001,59.849999999999994,6.300000000000001
Southampton 1,EAST,0.0,12.600000000000001,59.849999999999994,6.300000000000001
Kenilworth NUG,EAST,15.0,3.0,14.25,1.5
Hazelton LM 200,EAST,0.0,6.0,28.5,3.0
Hazelton LM 400,EAST,0.0,6.24,29.639999999999997,3.12
Hazelton GT 100,EAST,0.0,11.8,56.05,5.9
Hazelton LM 300,EAST,0.0,6.2,29.45,3.1
Big Sandy 1,EAST,56.0,11.200000000000001,53.199999999999996,5.6000000000000005
Big Sandy (AEP) 2,EAST,800.0,160.0,760.0,80.0
Big Sandy 4,EAST,56.0,11.200000000000001,53.199999999999996,5.6000000000000005
Big Sandy (AEP) 1,EAST,280.0,56.0,266.0,28.0
Big Sandy 5,EAST,56.0,11.200000000000001,53.199999999999996,5.6000000000000005
Big Sandy 3,EAST,56.0,11.200000000000001,53.199999999999996,5.6000000000000005
Big Sandy 6,EAST,56.0,11.200000000000001,53.199999999999996,5.6000000000000005
Big Sandy 2,EAST,56.0,11.200000000000001,53.199999999999996,5.6000000000000005
