Gen_Index,commitinit,upinit,downinit
General Foods 1 NUG,0,0,196
Kent CT 2,0,0,24
Kent CT 1,0,0,196
LGP NUG (Logan),1,96,0
Kinsley Landfill,1,15,0
Cogentrix Portsmouth 2 (Lk.Kingman),1,42,0
Cogentrix Portsmouth 1 (Lk.Kingman),1,42,0
PCLP1 NUG,0,0,196
Gilberton NUG,1,96,0
Harrisburg NUG,1,96,0
IUP NUG,1,39,0
Colver NUG,1,96,0
Grant Town,1,96,0
South River NUG,0,0,196
Mt Carmel Cogen (FosterWheeler),1,96,0
Cogentrix Hopewell 2 (James River),1,43,0
Cogentrix Hopewell 1 (James River),1,42,0
Edgecombe 2 (Rocky Mt),1,17,0
Edgecombe 1 (Rocky Mt),1,39,0
Camden County RR NUG,1,24,0
CPGP NUG (Chambers/Carneys PT),1,35,0
Ebensburg NUG,1,96,0
Baltimore Resco NUG (Bresco),1,96,0
Hopewell Cogen 1 (HCF),0,0,196
Cambria County NUG,1,96,0
Essex County RR NUG (Covanta),1,24,0
AES Beaver,0,0,196
Warrior Run,1,96,0
Del Resource Mgmt Inc NUG,1,24,0
Camden COGEN,1,24,0
Hopewell Coal (Polyester),1,96,0
Altavista (Hall Branch),1,5,0
Southampton 1,1,12,0
Kenilworth NUG,0,0,196
Hazelton LM 200,0,0,196
Hazelton LM 400,0,0,196
Hazelton GT 100,0,0,196
Hazelton LM 300,0,0,196
Big Sandy 1,0,0,196
Big Sandy (AEP) 2,1,96,0
Big Sandy 4,1,22,0
Big Sandy (AEP) 1,1,96,0
Big Sandy 5,1,22,0
Big Sandy 3,1,17,0
Big Sandy 6,1,17,0
Big Sandy 2,0,0,196
Barkley 3,0,0,196
Barkley 2,1,96,0
Barkley 1,1,96,0
Barkley 4,1,96,0
Elmer Smith 1,1,41,0
Elmer Smith 2,1,54,0
Wolf Creek 6,1,96,0
Wolf Creek 5,1,96,0
Wolf Creek 4,1,96,0
Wolf Creek 1,1,96,0
Wolf Creek 2,1,96,0
Wolf Creek 3,1,96,0
Cooper 2,1,32,0
Cooper 1,1,96,0
Dale 2,0,0,196
Dale 3,0,0,196
Dale 4,0,0,196
Dale 1,0,0,196
Charles Crane CT 1,0,0,24
Charles Crane 1,1,96,0
Charles Crane 2,1,5,0
Gould St 3,0,0,196
Herbert Wagner 4,1,30,0
Herbert Wagner 2,1,96,0
Herbert Wagner 3,1,96,0
Herbert Wagner 1,1,34,0
Herbert Wagner CT 1,0,0,24
Notch Cliff 3,0,0,196
Notch Cliff 2,0,0,196
Notch Cliff 5,0,0,196
Notch Cliff 7,0,0,196
Notch Cliff 6,0,0,196
Notch Cliff 8,0,0,196
Notch Cliff 1,0,0,196
Notch Cliff 4,0,0,196
Perryman 2,1,29,0
Perryman 51,1,24,0
Perryman 1,0,0,24
Perryman 4,0,0,24
Perryman 3,0,0,196
Philadelphia Road 4,0,0,24
Philadelphia Road 1,0,0,196
Philadelphia Road 3,0,0,24
Philadelphia Road 2,0,0,24
Riverside 7,0,0,196
Riverside 1 (Zelda 1),1,10,0
Riverside 2 (Zelda 2),1,32,0
Riverside 8,0,0,196
Riverside 6,0,0,196
Riverside 3 (Zelda 3),1,30,0
Riverside 4,0,0,196
Westport 5,0,0,196
Crisfield 14,1,24,0
Vienna 10,0,0,196
Vienna 08,1,23,0
Deep Creek 2,1,96,0
Deep Creek 1,1,96,0
Chalk Point CT 1,0,0,24
Chalk Point SMECO CT,0,0,196
Chalk Point CT 2,0,0,196
Chalk Point CT 3,0,0,196
Chalk Point 2,1,96,0
Chalk Point 3,0,0,196
Chalk Point CT 6,0,0,24
Chalk Point CT 4,0,0,196
Chalk Point 4,0,0,196
Chalk Point 1,1,96,0
Chalk Point CT 5,1,30,0
Dickerson CT,0,0,196
Dickerson H CT 2,0,0,196
Dickerson 1,1,96,0
Dickerson 3,1,40,0
Dickerson H CT 1,0,0,196
Dickerson 2,1,96,0
Morgantown CT 5,0,0,24
Morgantown CT 4,0,0,24
Morgantown CT 6,0,0,24
Morgantown CT 3,0,0,24
Morgantown CT 2,0,0,24
Morgantown 2,1,96,0
Morgantown 1,1,96,0
Morgantown CT 1,0,0,24
Conowingo 10,0,0,1
Conowingo 01,1,28,0
Conowingo 11,0,0,1
Conowingo 09,0,0,1
Conowingo 07,0,0,1
Conowingo 04,0,0,1
Conowingo 05,0,0,1
Conowingo 06,0,0,11
Conowingo 02,0,0,1
Conowingo 08,0,0,1
Conowingo 03,0,0,1
Easton 12,1,24,0
Easton 11,1,24,0
Easton 07,0,0,196
Easton101,0,0,196
Easton 13,0,0,196
Easton 10,1,24,0
Easton102,1,20,0
Easton 14,1,24,0
Easton 08,1,24,0
Easton 09,0,0,196
Berr Sprg 12,1,96,0
Berr Sprg 09,0,0,196
Berr Sprg 01,0,0,38
Berr Sprg 02,1,12,0
Berr Sprg 05,1,14,0
Berr Sprg 07,0,0,196
Berr Sprg 04,0,0,196
Berr Sprg 10,0,0,196
Berr Sprg 11,1,96,0
Berr Sprg 08,1,96,0
Berr Sprg 06,1,13,0
Berr Sprg 03,1,6,0
Buchanan 10,1,96,0
Buchanan 01,0,0,55
Buchanan 06,1,96,0
Buchanan 05,1,13,0
Buchanan 04,1,10,0
Buchanan 08,1,96,0
Buchanan 09,1,96,0
Buchanan 07,1,96,0
Buchanan 03,0,0,47
Buchanan 02,0,0,49
Constantine 2,0,0,36
Constantine 1,1,96,0
Constantine 4,1,96,0
Constantine 3,0,0,196
Mottville 1,1,96,0
Mottville 4,0,0,196
Mottville 2,1,15,0
Mottville 3,1,96,0
Clinton 1,1,96,0
England Diesel 4,0,0,196
England Diesel 2,0,0,196
England Diesel 3,0,0,196
England 2,1,96,0
England Diesel 1,0,0,196
England 1,0,0,196
England 3,0,0,196
Carll s Corner 1,0,0,196
Carll s Corner 2,0,0,196
Cedar Station 2,0,0,24
Cedar Station 1,0,0,24
Middle Station 1,0,0,24
Middle Station 3,0,0,196
Middle Station 2,0,0,24
Missouri Ave C,0,0,196
Missouri Ave B,1,30,0
Missouri Ave D,1,19,0
Deepwater 1,0,0,196
Deepwater 6/8,0,0,196
Werner C3,0,0,196
Werner C2,0,0,196
Werner C4,0,0,196
Werner C1,0,0,196
Oyster Creek 1,1,96,0
Sayreville C4,0,0,196
Sayreville C3,0,0,196
Sayreville C1,0,0,196
Sayreville C2,0,0,196
Gilbert 6,1,18,0
Gilbert C4,0,0,196
Gilbert C3,0,0,196
Gilbert C1,0,0,196
Gilbert 7,1,23,0
Gilbert 5,0,0,196
Gilbert 4,0,0,196
Gilbert C2,0,0,196
Gilbert CT 9,0,0,196
Gilbert 8CC,1,16,0
Bergen 3,0,0,196
Bergen 2CC,1,24,0
Bergen 1CC,1,24,0
Burlington 092,1,21,0
Burlington 093,1,18,0
Burlington 124,0,0,24
Burlington 091,0,0,196
Burlington 112,0,0,196
Burlington 123,0,0,24
Burlington 113,1,5,0
Burlington 008,0,0,196
Burlington 122,1,5,0
Burlington 111,0,0,196
Burlington 094,0,0,196
Burlington 114,0,0,196
Burlington 121,1,5,0
Edison 32,0,0,24
Edison 34,0,0,24
Edison 13,0,0,196
Edison 31,0,0,24
Edison 24,0,0,196
Edison 14,0,0,196
Edison 33,0,0,24
Edison 21,0,0,196
Edison 12,0,0,196
Edison 11,0,0,196
Edison 22,0,0,196
Edison 23,0,0,196
Essex 123,0,0,196
Essex 122,0,0,196
Essex 114,0,0,196
Essex 103,0,0,196
Essex 121,0,0,196
Essex 101,0,0,24
Essex 9,0,0,24
Essex 104,0,0,196
Essex 124,0,0,196
Essex 112,0,0,196
Essex 111,0,0,196
Essex 113,0,0,196
Essex 102,0,0,24
Hudson 2,0,0,48
Kearney 133,0,0,24
Kearney 132,0,0,24
Kearney 134,0,0,24
Kearney 142,0,0,24
Kearney 124,0,0,24
Kearney 131,0,0,24
Kearney 09,0,0,196
Kearney 122,0,0,24
Kearney 121,0,0,24
Kearney 141,0,0,24
Kearney 123,0,0,24
Linden 1,0,0,196
Linden 2,0,0,196
Linden 8,0,0,196
Linden 7,0,0,196
Linden 6,0,0,24
Linden 5,0,0,24
Mercer 1,0,0,196
Mercer 2,0,0,72
Mercer 3,0,0,196
National Park,0,0,196
Salem 1,1,96,0
Salem 3,0,0,196
Salem 2,1,96,0
Sewaren 1,0,0,196
Sewaren 2,0,0,196
Sewaren 6,0,0,196
Sewaren 3,0,0,196
Sewaren 4,0,0,196
Vineland CT 11,1,30,0
Gaston 4,1,1,0
Gaston 2,0,0,3
Gaston 1,0,0,3
Gaston 3,0,0,2
Roanoke Rapids 1,1,96,0
Roanoke Rapids 3,1,15,0
