,congestion price ($/MW),flow (MW)
DC_BGE_PEP_to_PA_METED_PPL-1,0,-898.82
DC_BGE_PEP_to_PA_METED_PPL-2,0,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-3,0,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-4,0,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-5,0,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-6,0,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-7,0,-2050.00
DC_BGE_PEP_to_PA_METED_PPL-8,3393.53,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-9,0,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-10,0,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-11,3392.48,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-12,3349.82,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-13,3391.89,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-14,3398.40,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-15,3406.94,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-16,3406.94,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-17,3406.94,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-18,3407.48,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-19,3393.34,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-20,3395.34,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-21,3395.34,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-22,3395.10,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-23,3404.02,-2125.00
DC_BGE_PEP_to_PA_METED_PPL-24,0,-2050.00
DC_BGE_PEP_to_VA_DOM-1,0,-3572.95
DC_BGE_PEP_to_VA_DOM-2,0,-4100.00
DC_BGE_PEP_to_VA_DOM-3,0,-4100.00
DC_BGE_PEP_to_VA_DOM-4,0,-4100.00
DC_BGE_PEP_to_VA_DOM-5,0,-4100.00
DC_BGE_PEP_to_VA_DOM-6,0,-4100.00
DC_BGE_PEP_to_VA_DOM-7,0,-3944.64
DC_BGE_PEP_to_VA_DOM-8,0,-4100.00
DC_BGE_PEP_to_VA_DOM-9,0,-4100.00
DC_BGE_PEP_to_VA_DOM-10,0,-4100.00
DC_BGE_PEP_to_VA_DOM-11,0,-4100.00
DC_BGE_PEP_to_VA_DOM-12,0,-4100.00
DC_BGE_PEP_to_VA_DOM-13,0,-3697.70
DC_BGE_PEP_to_VA_DOM-14,0,-3932.49
DC_BGE_PEP_to_VA_DOM-15,0,-4100.00
DC_BGE_PEP_to_VA_DOM-16,0,-4100.00
DC_BGE_PEP_to_VA_DOM-17,0,-4100.00
DC_BGE_PEP_to_VA_DOM-18,0,-4100.00
DC_BGE_PEP_to_VA_DOM-19,0,-2878.79
DC_BGE_PEP_to_VA_DOM-20,0,-3612.27
DC_BGE_PEP_to_VA_DOM-21,0,-4100.00
DC_BGE_PEP_to_VA_DOM-22,0,-2305.47
DC_BGE_PEP_to_VA_DOM-23,0,-3967.25
DC_BGE_PEP_to_VA_DOM-24,0,-4100.00
EAST_to_DC_BGE_PEP-1,-3406.08,0
EAST_to_DC_BGE_PEP-2,-3406.76,0
EAST_to_DC_BGE_PEP-3,-3409.33,0
EAST_to_DC_BGE_PEP-4,-3409.33,0
EAST_to_DC_BGE_PEP-5,-3409.33,0
EAST_to_DC_BGE_PEP-6,-3409.33,0
EAST_to_DC_BGE_PEP-7,-3406.54,0
EAST_to_DC_BGE_PEP-8,-3405.41,0
EAST_to_DC_BGE_PEP-9,-3371.40,0
EAST_to_DC_BGE_PEP-10,-3372.06,0
EAST_to_DC_BGE_PEP-11,-3405.73,0
EAST_to_DC_BGE_PEP-12,-3363.08,0
EAST_to_DC_BGE_PEP-13,-3405.56,0
EAST_to_DC_BGE_PEP-14,-3409.33,0
EAST_to_DC_BGE_PEP-15,-3409.49,0
EAST_to_DC_BGE_PEP-16,-3409.49,0
EAST_to_DC_BGE_PEP-17,-3409.76,0
EAST_to_DC_BGE_PEP-18,-3409.76,0
EAST_to_DC_BGE_PEP-19,-3408.63,0
EAST_to_DC_BGE_PEP-20,-3408.63,0
EAST_to_DC_BGE_PEP-21,-3408.63,0
EAST_to_DC_BGE_PEP-22,-3408.77,0
EAST_to_DC_BGE_PEP-23,-3409.14,0
EAST_to_DC_BGE_PEP-24,-6.44,0
EAST_to_PA_METED_PPL-1,-3406.08,5050.00
EAST_to_PA_METED_PPL-2,-3406.76,5050.00
EAST_to_PA_METED_PPL-3,-3409.33,5050.00
EAST_to_PA_METED_PPL-4,-3409.33,5050.00
EAST_to_PA_METED_PPL-5,-3409.33,5050.00
EAST_to_PA_METED_PPL-6,-3409.33,5050.00
EAST_to_PA_METED_PPL-7,-3406.54,5050.00
EAST_to_PA_METED_PPL-8,-11.88,5050.00
EAST_to_PA_METED_PPL-9,-3371.40,5050.00
EAST_to_PA_METED_PPL-10,-3372.06,5050.00
EAST_to_PA_METED_PPL-11,-13.25,5050.00
EAST_to_PA_METED_PPL-12,-13.25,5050.00
EAST_to_PA_METED_PPL-13,-13.68,5050.00
EAST_to_PA_METED_PPL-14,-10.93,5050.00
EAST_to_PA_METED_PPL-15,-2.54,5050.00
EAST_to_PA_METED_PPL-16,-2.54,5050.00
EAST_to_PA_METED_PPL-17,-2.82,5050.00
EAST_to_PA_METED_PPL-18,-2.28,5050.00
EAST_to_PA_METED_PPL-19,-15.29,5050.00
EAST_to_PA_METED_PPL-20,-13.30,5050.00
EAST_to_PA_METED_PPL-21,-13.30,5050.00
EAST_to_PA_METED_PPL-22,-13.67,5050.00
EAST_to_PA_METED_PPL-23,-5.12,5050.00
EAST_to_PA_METED_PPL-24,-6.44,5050.00
EAST_to_VA_DOM-1,-3406.08,0
EAST_to_VA_DOM-2,-3406.76,0
EAST_to_VA_DOM-3,-3409.33,0
EAST_to_VA_DOM-4,-3409.33,0
EAST_to_VA_DOM-5,-3409.33,0
EAST_to_VA_DOM-6,-3409.33,0
EAST_to_VA_DOM-7,-3406.54,0
EAST_to_VA_DOM-8,-3405.41,0
EAST_to_VA_DOM-9,-3371.40,0
EAST_to_VA_DOM-10,-3372.06,0
EAST_to_VA_DOM-11,-3405.73,0
EAST_to_VA_DOM-12,-3363.08,0
EAST_to_VA_DOM-13,-3405.56,0
EAST_to_VA_DOM-14,-3409.33,0
EAST_to_VA_DOM-15,-3409.49,0
EAST_to_VA_DOM-16,-3409.49,0
EAST_to_VA_DOM-17,-3409.76,0
EAST_to_VA_DOM-18,-3409.76,0
EAST_to_VA_DOM-19,-3408.63,0
EAST_to_VA_DOM-20,-3408.63,0
EAST_to_VA_DOM-21,-3408.63,0
EAST_to_VA_DOM-22,-3408.77,0
EAST_to_VA_DOM-23,-3409.14,0
EAST_to_VA_DOM-24,-6.44,0
EAST_to_WEST-1,-3406.08,0
EAST_to_WEST-2,-3406.76,0
EAST_to_WEST-3,-3409.33,0
EAST_to_WEST-4,-3409.33,0
EAST_to_WEST-5,-3409.33,0
EAST_to_WEST-6,-3409.33,0
EAST_to_WEST-7,-3406.54,0
EAST_to_WEST-8,-3405.41,0
EAST_to_WEST-9,-3371.40,0
EAST_to_WEST-10,-3372.06,0
EAST_to_WEST-11,-3405.73,0
EAST_to_WEST-12,-3363.08,0
EAST_to_WEST-13,-3405.56,0
EAST_to_WEST-14,-3409.33,0
EAST_to_WEST-15,-3409.49,0
EAST_to_WEST-16,-3409.49,0
EAST_to_WEST-17,-3409.76,0
EAST_to_WEST-18,-3409.76,0
EAST_to_WEST-19,-3408.63,0
EAST_to_WEST-20,-3408.63,0
EAST_to_WEST-21,-3408.63,0
EAST_to_WEST-22,-3408.77,0
EAST_to_WEST-23,-3409.14,0
EAST_to_WEST-24,-6.44,0
VA_DOM_to_PA_METED_PPL-1,0,0
VA_DOM_to_PA_METED_PPL-2,0,0
VA_DOM_to_PA_METED_PPL-3,0,0
VA_DOM_to_PA_METED_PPL-4,0,0
VA_DOM_to_PA_METED_PPL-5,0,0
VA_DOM_to_PA_METED_PPL-6,0,0
VA_DOM_to_PA_METED_PPL-7,0,0
VA_DOM_to_PA_METED_PPL-8,3393.53,0
VA_DOM_to_PA_METED_PPL-9,0,0
VA_DOM_to_PA_METED_PPL-10,0,0
VA_DOM_to_PA_METED_PPL-11,3392.48,0
VA_DOM_to_PA_METED_PPL-12,3349.82,0
VA_DOM_to_PA_METED_PPL-13,3391.89,0
VA_DOM_to_PA_METED_PPL-14,3398.40,0
VA_DOM_to_PA_METED_PPL-15,3406.94,0
VA_DOM_to_PA_METED_PPL-16,3406.94,0
VA_DOM_to_PA_METED_PPL-17,3406.94,0
VA_DOM_to_PA_METED_PPL-18,3407.48,0
VA_DOM_to_PA_METED_PPL-19,3393.34,0
VA_DOM_to_PA_METED_PPL-20,3395.34,0
VA_DOM_to_PA_METED_PPL-21,3395.34,0
VA_DOM_to_PA_METED_PPL-22,3395.10,0
VA_DOM_to_PA_METED_PPL-23,3404.02,0
VA_DOM_to_PA_METED_PPL-24,0,0
WEST_to_DC_BGE_PEP-1,0,-4300.00
WEST_to_DC_BGE_PEP-2,0,-4276.17
WEST_to_DC_BGE_PEP-3,0,-3415.46
WEST_to_DC_BGE_PEP-4,0,-3474.55
WEST_to_DC_BGE_PEP-5,0,-3481.06
WEST_to_DC_BGE_PEP-6,0,-3311.88
WEST_to_DC_BGE_PEP-7,0,-3248.83
WEST_to_DC_BGE_PEP-8,0,-2362.23
WEST_to_DC_BGE_PEP-9,0,-1951.51
WEST_to_DC_BGE_PEP-10,0,-2275.50
WEST_to_DC_BGE_PEP-11,0,-2608.48
WEST_to_DC_BGE_PEP-12,0,-2912.60
WEST_to_DC_BGE_PEP-13,0,-4300.00
WEST_to_DC_BGE_PEP-14,0,-4300.00
WEST_to_DC_BGE_PEP-15,0,-3634.61
WEST_to_DC_BGE_PEP-16,0,-3800.93
WEST_to_DC_BGE_PEP-17,0,-3838.09
WEST_to_DC_BGE_PEP-18,0,-3609.51
WEST_to_DC_BGE_PEP-19,0,-4300.00
WEST_to_DC_BGE_PEP-20,0,-4300.00
WEST_to_DC_BGE_PEP-21,0,-3902.30
WEST_to_DC_BGE_PEP-22,0,-4300.00
WEST_to_DC_BGE_PEP-23,0,-4300.00
WEST_to_DC_BGE_PEP-24,0,-3370.66
WEST_to_PA_METED_PPL-1,0,-4400.00
WEST_to_PA_METED_PPL-2,0,-4400.00
WEST_to_PA_METED_PPL-3,0,-4400.00
WEST_to_PA_METED_PPL-4,0,-4112.95
WEST_to_PA_METED_PPL-5,0,-4115.17
WEST_to_PA_METED_PPL-6,0,-3967.82
WEST_to_PA_METED_PPL-7,0,-4400.00
WEST_to_PA_METED_PPL-8,3393.53,-2900.00
WEST_to_PA_METED_PPL-9,0,-2735.90
WEST_to_PA_METED_PPL-10,0,-2789.41
WEST_to_PA_METED_PPL-11,3392.48,-2900.00
WEST_to_PA_METED_PPL-12,3349.82,-2900.00
WEST_to_PA_METED_PPL-13,3391.89,-2900.00
WEST_to_PA_METED_PPL-14,3398.40,-2900.00
WEST_to_PA_METED_PPL-15,3406.94,-2900.00
WEST_to_PA_METED_PPL-16,3406.94,-2900.00
WEST_to_PA_METED_PPL-17,3406.94,-2900.00
WEST_to_PA_METED_PPL-18,3407.48,-2900.00
WEST_to_PA_METED_PPL-19,3393.34,-2900.00
WEST_to_PA_METED_PPL-20,3395.34,-2900.00
WEST_to_PA_METED_PPL-21,3395.34,-2900.00
WEST_to_PA_METED_PPL-22,3395.10,-2900.00
WEST_to_PA_METED_PPL-23,3404.02,-2900.00
WEST_to_PA_METED_PPL-24,0,-3505.95
WEST_to_VA_DOM-1,0,2952.02
WEST_to_VA_DOM-2,0,4031.29
WEST_to_VA_DOM-3,0,3762.32
WEST_to_VA_DOM-4,0,3578.29
WEST_to_VA_DOM-5,0,3515.75
WEST_to_VA_DOM-6,0,3839.49
WEST_to_VA_DOM-7,0,4400.00
WEST_to_VA_DOM-8,0,-2905.70
WEST_to_VA_DOM-9,0,-3389.57
WEST_to_VA_DOM-10,0,-3430.15
WEST_to_VA_DOM-11,0,-3538.25
WEST_to_VA_DOM-12,0,-2102.29
WEST_to_VA_DOM-13,0,-1200.36
WEST_to_VA_DOM-14,0,500.33
WEST_to_VA_DOM-15,0,323.77
WEST_to_VA_DOM-16,0,1357.68
WEST_to_VA_DOM-17,0,2352.59
WEST_to_VA_DOM-18,0,829.81
WEST_to_VA_DOM-19,0,-1591.71
WEST_to_VA_DOM-20,0,-2511.89
WEST_to_VA_DOM-21,0,15.70
WEST_to_VA_DOM-22,0,-560.93
WEST_to_VA_DOM-23,0,2505.14
WEST_to_VA_DOM-24,0,3935.60
