Gen_Index,Name,Zone,Category,Capacity,Fuel_Cost,Can_Spin
1,General Foods 1 NUG,DPL,CC,16.1,35.4431139363673,1
2,Kent CT 2,DPL,CT,44.0,35.4431139363673,1
3,Kent CT 1,DPL,CC,44.0,35.4431139363673,1
4,LGP NUG (Logan),DPL,ST,219.0,24.862033623000002,1
5,Kinsley Landfill,AE,DS,3.0,133.02623425,1
6,Cogentrix Portsmouth 2 (Lk.Kingman),DOM,ST,57.5,21.70291473,1
7,Cogentrix Portsmouth 1 (Lk.Kingman),DOM,ST,57.5,21.70291473,1
8,PCLP1 NUG,AE,CC,116.0,43.0779712461988,1
9,Gilberton NUG,PPL,ST,82.0,26.813964198,1
10,Harrisburg NUG,METED,ST,11.0,21.70291473,1
12,IUP NUG,PENELEC,DS,18.1,133.02623425,1
13,Colver NUG,PENELEC,ST,110.0,22.70655702,1
14,Grant Town,APS,ST,80.0,28.839179460000004,1
17,South River NUG,PSEG,CC,325.9,40.422039070339196,1
18,Mt Carmel Cogen (FosterWheeler),PPL,ST,43.0,29.750566146,1
19,Cogentrix Hopewell 2 (James River),DOM,ST,46.0,14.984207353500002,1
20,Cogentrix Hopewell 1 (James River),DOM,ST,46.0,14.984207353500002,1
24,Edgecombe 2 (Rocky Mt),DOM,ST,58.0,101.63548101000002,1
25,Edgecombe 1 (Rocky Mt),DOM,ST,58.0,101.63548101000002,1
26,Camden County RR NUG,AE,ST,23.0,46.393593288000005,1
32,CPGP NUG (Chambers/Carneys PT),DPL,ST,239.9,21.649745019,1
33,Ebensburg NUG,PENELEC,ST,50.0,31.953291552000003,1
35,Baltimore Resco NUG (Bresco),BG&E,ST,57.0,26.597575116,1
36,Hopewell Cogen 1 (HCF),DOM,CC,400.0,42.3538161163252,1
37,Cambria County NUG,PENELEC,ST,88.0,22.563794085,1
38,Essex County RR NUG (Covanta),PSEG,ST,65.0,46.617459504,1
39,AES Beaver,AEP,ST,125.1,21.70291473,1
40,Warrior Run,APS,ST,180.0,18.612753669299998,1
42,Del Resource Mgmt Inc NUG,AE,ST,75.0,39.301063053,1
43,Camden COGEN,AE,CC,159.0,44.0453788767773,1
44,Hopewell Coal (Polyester),DOM,ST,63.0,33.569039301,1
45,Altavista (Hall Branch),DOM,ST,63.0,31.673468862000004,1
46,Southampton 1,DOM,ST,63.0,32.543955948000004,1
47,Kenilworth NUG,PSEG,CC,15.0,40.454658654477505,1
48,Hazelton LM 200,PPL,CT,30.0,69.89154992721501,1
49,Hazelton LM 400,PPL,CT,31.2,69.89154992721501,1
50,Hazelton GT 100,PPL,CT,59.0,69.89154992721501,1
51,Hazelton LM 300,PPL,CT,31.0,69.89154992721501,1
52,Big Sandy 1,AEP,CT,56.0,48.770668812438,1
53,Big Sandy (AEP) 2,AEP,ST,800.0,21.70291473,1
54,Big Sandy 4,AEP,CT,56.0,48.770668812438,1
55,Big Sandy (AEP) 1,AEP,ST,280.0,21.558592314,1
56,Big Sandy 5,AEP,CT,56.0,48.770668812438,1
57,Big Sandy 3,AEP,CT,56.0,48.770668812438,1
58,Big Sandy 6,AEP,CT,56.0,48.770668812438,1
59,Big Sandy 2,AEP,CT,56.0,48.770668812438,1
60,Barkley 3,SERC,HD,32.0,0.0,1
61,Barkley 2,SERC,HD,32.0,0.0,1
62,Barkley 1,SERC,HD,32.0,0.0,1
63,Barkley 4,SERC,HD,32.0,0.0,1
64,Elmer Smith 1,MISO,ST,151.0,24.605102991000003,1
65,Elmer Smith 2,MISO,ST,290.0,24.605102991000003,1
66,Wolf Creek 6,SERC,HD,45.0,0.0,1
67,Wolf Creek 5,SERC,HD,45.0,0.0,1
68,Wolf Creek 4,SERC,HD,45.0,0.0,1
69,Wolf Creek 1,SERC,HD,45.0,0.0,1
70,Wolf Creek 2,SERC,HD,45.0,0.0,1
71,Wolf Creek 3,SERC,HD,45.0,0.0,1
72,Cooper 2,EKPC,ST,225.0,22.708398468,1
73,Cooper 1,EKPC,ST,116.0,22.708398468,1
74,Dale 2,EKPC,ST,23.0,21.70291473,1
75,Dale 3,EKPC,ST,75.0,21.70291473,1
76,Dale 4,EKPC,ST,75.0,21.70291473,1
77,Dale 1,EKPC,ST,23.0,21.70291473,1
78,Charles Crane CT 1,BG&E,CT,14.0,59.436803774799,1
79,Charles Crane 1,BG&E,ST,190.0,26.273451897,1
80,Charles Crane 2,BG&E,ST,195.0,26.273451897,1
81,Gould St 3,BG&E,ST,104.0,27.853496013,1
82,Herbert Wagner 4,BG&E,ST,400.0,30.752873697000002,1
83,Herbert Wagner 2,BG&E,ST,135.0,30.752873697000002,1
84,Herbert Wagner 3,BG&E,ST,324.0,30.752873697000002,1
85,Herbert Wagner 1,BG&E,ST,131.0,30.752873697000002,1
86,Herbert Wagner CT 1,BG&E,CT,14.0,69.570322415399,1
87,Notch Cliff 3,BG&E,CT,16.0,79.42136172610002,1
88,Notch Cliff 2,BG&E,CT,16.0,79.42136172610002,1
89,Notch Cliff 5,BG&E,CT,16.0,79.42136172610002,1
90,Notch Cliff 7,BG&E,CT,16.0,79.42136172610002,1
91,Notch Cliff 6,BG&E,CT,16.0,79.42136172610002,1
92,Notch Cliff 8,BG&E,CT,16.0,79.42136172610002,1
93,Notch Cliff 1,BG&E,CT,16.0,79.42136172610002,1
94,Notch Cliff 4,BG&E,CT,16.0,79.42136172610002,1
95,Perryman 2,BG&E,CT,61.0,47.903907160463,1
96,Perryman 51,BG&E,CT,173.0,50.230901162866,1
98,Perryman 1,BG&E,CT,61.0,50.230901162866,1
99,Perryman 4,BG&E,CT,61.0,50.230901162866,1
100,Perryman 3,BG&E,CT,61.0,50.230901162866,1
101,Philadelphia Road 4,BG&E,CT,16.0,94.71480699489601,1
102,Philadelphia Road 1,BG&E,CT,16.0,94.71480699489601,1
103,Philadelphia Road 3,BG&E,CT,16.0,94.71480699489601,1
104,Philadelphia Road 2,BG&E,CT,16.0,94.71480699489601,1
105,Riverside 7,BG&E,CT,22.0,100.560694939733,1
106,Riverside 1 (Zelda 1),BG&E,CT,208.0,100.560694939733,1
107,Riverside 2 (Zelda 2),BG&E,CT,208.0,100.560694939733,1
108,Riverside 8,BG&E,CT,22.0,100.560694939733,1
109,Riverside 6,BG&E,CT,127.0,47.903907160463,1
110,Riverside 3 (Zelda 3),BG&E,CT,208.0,100.560694939733,1
111,Riverside 4,BG&E,ST,78.0,21.70291473,1
112,Westport 5,BG&E,CT,121.0,66.724683092316,1
113,Crisfield 14,DPL,DS,10.0,132.21805012000002,1
114,Vienna 10,DPL,CT,21.0,47.903907160463,1
115,Vienna 08,DPL,ST,156.0,21.70291473,1
116,Deep Creek 2,APS,HD,10.0,0.0,1
117,Deep Creek 1,APS,HD,10.0,0.0,1
120,Chalk Point CT 1,PEPCO,CT,18.0,61.433357850467004,1
121,Chalk Point SMECO CT,PEPCO,CT,93.0,61.433357850467004,1
122,Chalk Point CT 2,PEPCO,CT,35.0,61.433357850467004,1
123,Chalk Point CT 3,PEPCO,CT,99.0,61.433357850467004,1
124,Chalk Point 2,PEPCO,ST,343.0,27.156008901000003,1
125,Chalk Point 3,PEPCO,ST,612.0,27.156008901000003,1
126,Chalk Point CT 6,PEPCO,CT,120.0,61.433357850467004,1
127,Chalk Point CT 4,PEPCO,CT,99.0,61.433357850467004,1
128,Chalk Point 4,PEPCO,ST,612.0,27.156008901000003,1
129,Chalk Point 1,PEPCO,ST,341.0,27.156008901000003,1
130,Chalk Point CT 5,PEPCO,CT,120.0,61.433357850467004,1
131,Dickerson CT,PEPCO,CT,18.0,70.70216543124,1
132,Dickerson H CT 2,PEPCO,CT,167.0,70.70216543124,1
133,Dickerson 1,PEPCO,ST,182.0,31.253193720000002,1
134,Dickerson 3,PEPCO,ST,182.0,31.253193720000002,1
135,Dickerson H CT 1,PEPCO,CT,167.0,70.70216543124,1
136,Dickerson 2,PEPCO,ST,182.0,31.253193720000002,1
137,Morgantown CT 5,PEPCO,CT,65.0,49.59018099986,1
138,Morgantown CT 4,PEPCO,CT,65.0,49.59018099986,1
139,Morgantown CT 6,PEPCO,CT,65.0,49.59018099986,1
140,Morgantown CT 3,PEPCO,CT,65.0,49.59018099986,1
141,Morgantown CT 2,PEPCO,CT,20.0,49.59018099986,1
142,Morgantown 2,PEPCO,ST,620.0,21.920849580000002,1
143,Morgantown 1,PEPCO,ST,624.0,21.920849580000002,1
144,Morgantown CT 1,PEPCO,CT,20.0,49.59018099986,1
145,Conowingo 10,DPL,HD,65.0,0.0,1
146,Conowingo 01,DPL,HD,48.0,0.0,1
147,Conowingo 11,DPL,HD,65.0,0.0,1
148,Conowingo 09,DPL,HD,65.0,0.0,1
149,Conowingo 07,DPL,HD,48.0,0.0,1
150,Conowingo 04,DPL,HD,48.0,0.0,1
151,Conowingo 05,DPL,HD,36.0,0.0,1
152,Conowingo 06,DPL,HD,48.0,0.0,1
153,Conowingo 02,DPL,HD,36.0,0.0,1
154,Conowingo 08,DPL,HD,65.0,0.0,1
155,Conowingo 03,DPL,HD,48.0,0.0,1
156,Easton 12,DPL,DS,4.1,277.79555557000003,1
157,Easton 11,DPL,DS,3.6,277.79555557000003,1
158,Easton 07,DPL,DS,2.0,277.79555557000003,1
159,Easton101,DPL,DS,1.5,277.79555557000003,1
160,Easton 13,DPL,DS,5.6,277.79555557000003,1
161,Easton 10,DPL,DS,3.5,277.79555557000003,1
162,Easton102,DPL,DS,1.5,277.79555557000003,1
163,Easton 14,DPL,DS,5.6,277.79555557000003,1
164,Easton 08,DPL,DS,2.0,277.79555557000003,1
165,Easton 09,DPL,DS,2.5,277.79555557000003,1
166,Berr Sprg 12,AEP,HD,0.6,0.0,1
167,Berr Sprg 09,AEP,HD,0.6,0.0,1
168,Berr Sprg 01,AEP,HD,0.6,0.0,1
169,Berr Sprg 02,AEP,HD,0.6,0.0,1
170,Berr Sprg 05,AEP,HD,0.6,0.0,1
171,Berr Sprg 07,AEP,HD,0.6,0.0,1
172,Berr Sprg 04,AEP,HD,0.6,0.0,1
