timepoint,zone,gross_load,wind_cf,solar_cf
1,EAST,19201.464,0.39728414700000003,0.0
2,EAST,18410.814,0.39728414700000003,0.0
3,EAST,17984.7252,0.362004306,0.0
4,EAST,17735.941799999997,0.360620396,0.0
5,EAST,17743.104,0.35519845899999997,0.0
6,EAST,18092.844,0.355548411,0.0
7,EAST,19005.462,0.36692282600000004,0.0
8,EAST,20635.325999999997,0.36692282600000004,0.0
9,EAST,21569.04,0.34965299899999996,0.061928338
10,EAST,21310.308,0.299483558,0.202418192
11,EAST,20792.268,0.276848098,0.284944175
12,EAST,20329.164,0.274691208,0.333549903
13,EAST,19770.804,0.281757014,0.38778543600000004
14,EAST,19298.538,0.281757014,0.36691130200000005
15,EAST,19020.51,0.288193755,0.305271793
16,EAST,18862.92,0.299056408,0.224951912
17,EAST,18874.26,0.322239076,0.12720346400000002
18,EAST,19373.219999999998,0.375961176,0.000789855
19,EAST,20632.536,0.42044066799999996,0.0
20,EAST,21103.128,0.42044066799999996,0.0
21,EAST,21013.668,0.43244129200000003,0.0
22,EAST,20732.525999999998,0.425862829,0.0
23,EAST,20014.721999999998,0.42280711600000004,0.0
24,EAST,18866.844,0.41444619899999996,0.0
1,WEST,51310.5788,0.39728414700000003,0.0
2,WEST,49197.78630000001,0.39728414700000003,0.0
3,WEST,48059.18234000001,0.362004306,0.0
4,WEST,47394.37781,0.360620396,0.0
5,WEST,47413.516800000005,0.35519845899999997,0.0
6,WEST,48348.0998,0.355548411,0.0
7,WEST,50786.8179,0.36692282600000004,0.0
8,WEST,55142.1767,0.36692282600000004,0.0
9,WEST,57637.268000000004,0.34965299899999996,0.061928338
10,WEST,56945.87860000001,0.299483558,0.202418192
11,WEST,55561.560600000004,0.276848098,0.284944175
12,WEST,54324.04380000001,0.274691208,0.333549903
13,WEST,52831.98180000001,0.281757014,0.38778543600000004
14,WEST,51569.98210000001,0.281757014,0.36691130200000005
15,WEST,50827.029500000004,0.288193755,0.305271793
16,WEST,50405.914000000004,0.299056408,0.224951912
17,WEST,50436.217000000004,0.322239076,0.12720346400000002
18,WEST,51769.549000000006,0.375961176,0.000789855
19,WEST,55134.7212,0.42044066799999996,0.0
20,WEST,56392.24760000001,0.42044066799999996,0.0
21,WEST,56153.19060000001,0.43244129200000003,0.0
22,WEST,55401.9167,0.425862829,0.0
23,WEST,53483.7849,0.42280711600000004,0.0
24,WEST,50416.39980000001,0.41444619899999996,0.0
1,DC_BGE_PEP,9280.7076,0.39728414700000003,0.0
2,DC_BGE_PEP,8898.560099999999,0.39728414700000003,0.0
3,DC_BGE_PEP,8692.61718,0.362004306,0.0
4,DC_BGE_PEP,8572.371869999999,0.360620396,0.0
5,DC_BGE_PEP,8575.8336,0.35519845899999997,0.0
6,DC_BGE_PEP,8744.8746,0.355548411,0.0
7,DC_BGE_PEP,9185.9733,0.36692282600000004,0.0
8,DC_BGE_PEP,9973.740899999999,0.36692282600000004,0.0
9,DC_BGE_PEP,10425.036,0.34965299899999996,0.061928338
10,DC_BGE_PEP,10299.9822,0.299483558,0.202418192
11,DC_BGE_PEP,10049.5962,0.276848098,0.284944175
12,DC_BGE_PEP,9825.7626,0.274691208,0.333549903
13,DC_BGE_PEP,9555.8886,0.281757014,0.38778543600000004
14,DC_BGE_PEP,9327.6267,0.281757014,0.36691130200000005
15,DC_BGE_PEP,9193.2465,0.288193755,0.305271793
16,DC_BGE_PEP,9117.078,0.299056408,0.224951912
17,DC_BGE_PEP,9122.559,0.322239076,0.12720346400000002
18,DC_BGE_PEP,9363.723,0.375961176,0.000789855
19,DC_BGE_PEP,9972.392399999999,0.42044066799999996,0.0
20,DC_BGE_PEP,10199.8452,0.42044066799999996,0.0
21,DC_BGE_PEP,10156.6062,0.43244129200000003,0.0
22,DC_BGE_PEP,10020.720899999998,0.425862829,0.0
23,DC_BGE_PEP,9673.782299999999,0.42280711600000004,0.0
24,DC_BGE_PEP,9118.9746,0.41444619899999996,0.0
1,VA_DOM,17601.342,0.39728414700000003,0.0
2,VA_DOM,16876.5795,0.39728414700000003,0.0
3,VA_DOM,16485.9981,0.362004306,0.0
4,VA_DOM,16257.94665,0.360620396,0.0
5,VA_DOM,16264.512,0.35519845899999997,0.0
6,VA_DOM,16585.107,0.355548411,0.0
7,VA_DOM,17421.6735,0.36692282600000004,0.0
8,VA_DOM,18915.715500000002,0.36692282600000004,0.0
9,VA_DOM,19771.620000000003,0.34965299899999996,0.061928338
10,VA_DOM,19534.449,0.299483558,0.202418192
11,VA_DOM,19059.579,0.276848098,0.284944175
12,VA_DOM,18635.067000000003,0.274691208,0.333549903
13,VA_DOM,18123.237,0.281757014,0.38778543600000004
14,VA_DOM,17690.326500000003,0.281757014,0.36691130200000005
15,VA_DOM,17435.467500000002,0.288193755,0.305271793
16,VA_DOM,17291.010000000002,0.299056408,0.224951912
17,VA_DOM,17301.405000000002,0.322239076,0.12720346400000002
18,VA_DOM,17758.785,0.375961176,0.000789855
19,VA_DOM,18913.158,0.42044066799999996,0.0
20,VA_DOM,19344.534000000003,0.42044066799999996,0.0
21,VA_DOM,19262.529000000002,0.43244129200000003,0.0
22,VA_DOM,19004.8155,0.425862829,0.0
23,VA_DOM,18346.8285,0.42280711600000004,0.0
24,VA_DOM,17294.607,0.41444619899999996,0.0
1,PA_METED_PPL,9280.7076,0.39728414700000003,0.0
2,PA_METED_PPL,8898.560099999999,0.39728414700000003,0.0
3,PA_METED_PPL,8692.61718,0.362004306,0.0
4,PA_METED_PPL,8572.371869999999,0.360620396,0.0
5,PA_METED_PPL,8575.8336,0.35519845899999997,0.0
6,PA_METED_PPL,8744.8746,0.355548411,0.0
7,PA_METED_PPL,9185.9733,0.36692282600000004,0.0
8,PA_METED_PPL,9973.740899999999,0.36692282600000004,0.0
9,PA_METED_PPL,10425.036,0.34965299899999996,0.061928338
10,PA_METED_PPL,10299.9822,0.299483558,0.202418192
11,PA_METED_PPL,10049.5962,0.276848098,0.284944175
12,PA_METED_PPL,9825.7626,0.274691208,0.333549903
13,PA_METED_PPL,9555.8886,0.281757014,0.38778543600000004
14,PA_METED_PPL,9327.6267,0.281757014,0.36691130200000005
15,PA_METED_PPL,9193.2465,0.288193755,0.305271793
16,PA_METED_PPL,9117.078,0.299056408,0.224951912
17,PA_METED_PPL,9122.559,0.322239076,0.12720346400000002
18,PA_METED_PPL,9363.723,0.375961176,0.000789855
19,PA_METED_PPL,9972.392399999999,0.42044066799999996,0.0
20,PA_METED_PPL,10199.8452,0.42044066799999996,0.0
21,PA_METED_PPL,10156.6062,0.43244129200000003,0.0
22,PA_METED_PPL,10020.720899999998,0.425862829,0.0
23,PA_METED_PPL,9673.782299999999,0.42280711600000004,0.0
24,PA_METED_PPL,9118.9746,0.41444619899999996,0.0
