Gen_Index,Fuel_Cost,Pmin,start_cost,Can_Spin
1,26.70897929,0.4,1610,1
2,26.70897929,0.4,1100,1
3,26.70897929,0.4,4400,1
4,24.86203361,0.4,21900,1
8,32.46240282,0.4,11600,1
9,26.8139642,0.4,7900,1
10,21.70291473,0.4,1100,1
12,133.0262343,0.25,400,1
13,22.70655702,0.4,11000,1
14,28.83917945,0.4,8000,1
15,21.70291473,0.4,5380,1
16,21.70291473,0.4,4500,1
17,30.46096362,0.4,26000,1
18,29.75056614,0.4,4300,1
19,14.98420735,0.4,4600,1
20,14.98420735,0.4,4600,1
24,101.635481,0.4,5800,1
25,101.635481,0.4,5800,1
26,46.39359328,0.4,2300,1
32,21.64974501,0.4,21700,1
33,31.95329156,0.4,5000,1
35,26.59757512,0.4,5700,1
36,31.91669895,0.4,40000,1
37,22.56379408,0.4,8800,1
38,46.6174595,0.4,6500,1
40,18.61275367,0.4,18000,1
42,39.30106305,0.4,7500,1
43,33.19141524,0.4,15900,1
44,33.5690393,0.4,6300,1
45,31.67346885,0.4,6300,1
46,32.54395594,0.4,6300,1
47,30.48554486,0.4,1500,1
48,52.66839596,0.4,750,1
49,52.66839596,0.4,775,1
50,52.66839596,0.4,1475,1
51,52.66839596,0.4,775,1
52,36.7522669,0.4,1400,1
54,36.7522669,0.4,1400,1
55,21.55859232,0.4,26000,1
56,36.7522669,0.4,1400,1
57,36.7522669,0.4,1400,1
58,36.7522669,0.4,1400,1
59,36.7522669,0.4,1400,1
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,24.605103,0.4,15100,1
65,24.605103,0.4,29000,1
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,22.70839848,0.4,22500,1
73,22.70839848,0.4,11600,1
78,44.78997989,0.4,350,1
79,26.27345189,0.4,19000,1
80,26.27345189,0.4,19500,1
81,27.85349601,0.4,9800,1
82,30.7528737,0.4,40000,1
83,30.7528737,0.4,13500,1
84,30.7528737,0.4,31900,1
85,30.7528737,0.4,13100,1
86,52.42632755,0.4,350,1
87,59.84980633,0.4,400,1
88,59.84980633,0.4,400,1
89,59.84980633,0.4,400,1
90,59.84980633,0.4,400,1
91,59.84980633,0.4,400,1
92,59.84980633,0.4,400,1
93,59.84980633,0.4,400,1
94,59.84980633,0.4,400,1
96,37.85265879,0.4,4325,1
97,37.85265879,0.4,3000,1
