Gen_Index,Name,Zone,Category,Capacity,Fuel_Cost,Can_Spin
1,General Foods 1 NUG,EAST,CC,16.1,30,1
2,Kent CT 2,EAST,CT,44,50,1
3,Kent CT 1,EAST,CC,44,30,1
4,LGP NUG (Logan),EAST,ST,219,25,1
8,PCLP1 NUG,EAST,CC,116,30,1
9,Gilberton NUG,PA_METED_PPL,ST,79,25,1
10,Harrisburg NUG,PA_METED_PPL,ST,11,25,1
12,IUP NUG,WEST,DS,16,80,1
13,Colver NUG,WEST,ST,110,25,1
14,Grant Town,WEST,ST,80,25,1
15,Gosport,VA_DOM,ST,53.8,25,1
16,West Kingsport 1,VA_DOM,ST,45,25,1
17,South River NUG,EAST,CC,260,30,1
18,Mt Carmel Cogen (FosterWheeler),PA_METED_PPL,ST,43,25,1
19,Cogentrix Hopewell 2 (James River),VA_DOM,ST,46,25,1
20,Cogentrix Hopewell 1 (James River),VA_DOM,ST,46,25,1
24,Edgecombe 2 (Rocky Mt),VA_DOM,ST,58,25,1
25,Edgecombe 1 (Rocky Mt),VA_DOM,ST,58,25,1
26,Camden County RR NUG,EAST,ST,23,25,1
32,CPGP NUG (Chambers/Carneys PT),EAST,ST,217,25,1
33,Ebensburg NUG,WEST,ST,50,25,1
35,Baltimore Resco NUG (Bresco),DC_BGE_PEP,ST,57,25,1
36,Hopewell Cogen 1 (HCF),VA_DOM,CC,400,30,1
37,Cambria County NUG,WEST,ST,88,25,1
38,Essex County RR NUG (Covanta),EAST,ST,65,25,1
40,Warrior Run,WEST,ST,180,25,1
42,Del Resource Mgmt Inc NUG,EAST,ST,75,25,1
43,Camden COGEN,EAST,CC,159,30,1
44,Hopewell Coal (Polyester),VA_DOM,ST,63,25,1
45,Altavista (Hall Branch),VA_DOM,ST,63,25,1
46,Southampton 1,VA_DOM,ST,63,25,1
47,Kenilworth NUG,EAST,CC,15,30,1
48,Hazelton LM 200,PA_METED_PPL,CT,30,50,1
49,Hazelton LM 400,PA_METED_PPL,CT,31,50,1
50,Hazelton GT 100,PA_METED_PPL,CT,59,50,1
51,Hazelton LM 300,PA_METED_PPL,CT,31,50,1
52,Big Sandy 1,WEST,CT,56,50,1
54,Big Sandy 4,WEST,CT,56,50,1
55,Big Sandy (AEP) 1,WEST,ST,260,25,1
56,Big Sandy 5,WEST,CT,56,50,1
57,Big Sandy 3,WEST,CT,56,50,1
58,Big Sandy 6,WEST,CT,56,50,1
59,Big Sandy 2,WEST,CT,56,50,1
60,Barkley 3,VA_DOM,HD,32,5,0
61,Barkley 2,VA_DOM,HD,32,5,0
62,Barkley 1,VA_DOM,HD,32,5,0
63,Barkley 4,VA_DOM,HD,32,5,0
64,Elmer Smith 1,WEST,ST,151,25,1
65,Elmer Smith 2,WEST,ST,290,25,1
66,Wolf Creek 6,VA_DOM,HD,45,5,0
67,Wolf Creek 5,VA_DOM,HD,45,5,0
68,Wolf Creek 4,VA_DOM,HD,45,5,0
69,Wolf Creek 1,VA_DOM,HD,45,5,0
70,Wolf Creek 2,VA_DOM,HD,45,5,0
71,Wolf Creek 3,VA_DOM,HD,45,5,0
72,Cooper 2,WEST,ST,225,25,1
73,Cooper 1,WEST,ST,116,25,1
78,Charles Crane CT 1,DC_BGE_PEP,CT,14,50,1
79,Charles Crane 1,DC_BGE_PEP,ST,190,25,1
80,Charles Crane 2,DC_BGE_PEP,ST,195,25,1
81,Gould St 3,DC_BGE_PEP,ST,98,25,1
82,Herbert Wagner 4,DC_BGE_PEP,ST,400,25,1
83,Herbert Wagner 2,DC_BGE_PEP,ST,135,25,1
