Gen_Index,zone,Capacity
1,EAST,16.1
2,EAST,44
3,EAST,44
4,EAST,219
8,EAST,116
9,EAST,0
10,EAST,0
12,EAST,0
13,EAST,0
14,EAST,0
15,EAST,0
16,EAST,0
17,EAST,260
18,EAST,0
19,EAST,0
20,EAST,0
24,EAST,0
25,EAST,0
26,EAST,23
32,EAST,217
33,EAST,0
35,EAST,0
36,EAST,0
37,EAST,0
38,EAST,65
40,EAST,0
42,EAST,75
43,EAST,159
44,EAST,0
45,EAST,0
46,EAST,0
47,EAST,15
48,EAST,0
49,EAST,0
50,EAST,0
51,EAST,0
52,EAST,0
54,EAST,0
55,EAST,0
56,EAST,0
57,EAST,0
58,EAST,0
59,EAST,0
60,EAST,0
61,EAST,0
62,EAST,0
63,EAST,0
64,EAST,0
65,EAST,0
66,EAST,0
67,EAST,0
68,EAST,0
69,EAST,0
70,EAST,0
71,EAST,0
72,EAST,0
73,EAST,0
78,EAST,0
79,EAST,0
80,EAST,0
81,EAST,0
82,EAST,0
83,EAST,0
84,EAST,0
85,EAST,0
86,EAST,0
87,EAST,0
88,EAST,0
89,EAST,0
90,EAST,0
91,EAST,0
92,EAST,0
93,EAST,0
94,EAST,0
96,EAST,0
97,EAST,0
98,EAST,0
99,EAST,0
100,EAST,0
101,EAST,0
102,EAST,0
103,EAST,0
104,EAST,0
105,EAST,0
106,EAST,0
107,EAST,0
108,EAST,0
110,EAST,0
112,EAST,0
113,EAST,10
114,EAST,21
115,EAST,156
116,EAST,0
117,EAST,0
120,EAST,0
121,EAST,0
122,EAST,0
123,EAST,0
124,EAST,0
125,EAST,0
126,EAST,0
127,EAST,0
128,EAST,0
129,EAST,0
130,EAST,0
131,EAST,0
132,EAST,0
133,EAST,0
134,EAST,0
135,EAST,0
136,EAST,0
137,EAST,0
138,EAST,0
139,EAST,0
140,EAST,0
141,EAST,0
142,EAST,0
143,EAST,0
144,EAST,0
145,EAST,65
146,EAST,48
147,EAST,65
148,EAST,65
149,EAST,36
150,EAST,48
151,EAST,36
152,EAST,36
153,EAST,36
154,EAST,65
155,EAST,48
156,EAST,4.1
157,EAST,3.6
158,EAST,2
159,EAST,1.5
160,EAST,5.6
161,EAST,3.5
162,EAST,1.5
163,EAST,5.6
164,EAST,2
165,EAST,2.5
166,EAST,0
167,EAST,0
168,EAST,0
169,EAST,0
170,EAST,0
171,EAST,0
172,EAST,0
173,EAST,0
174,EAST,0
175,EAST,0
176,EAST,0
177,EAST,0
178,EAST,0
179,EAST,0
180,EAST,0
181,EAST,0
182,EAST,0
183,EAST,0
184,EAST,0
185,EAST,0
186,EAST,0
187,EAST,0
188,EAST,0
189,EAST,0
190,EAST,0
191,EAST,0
192,EAST,0
193,EAST,0
194,EAST,0
195,EAST,0
196,EAST,0
200,EAST,155
204,EAST,43
205,EAST,43
225,EAST,637
226,EAST,77
227,EAST,77
229,EAST,77
230,EAST,73
232,EAST,70
236,EAST,70
237,EAST,70
240,EAST,70
242,EAST,183
243,EAST,104
249,EAST,596
250,EAST,675
254,EAST,42
259,EAST,42
262,EAST,42
266,EAST,42
285,EAST,93
297,EAST,44.5
298,EAST,44.5
299,EAST,44.5
301,EAST,44.5
303,EAST,44
305,EAST,44.5
308,EAST,44
309,EAST,44
310,EAST,44.5
313,EAST,44
316,EAST,545
317,EAST,545
320,EAST,98
325,EAST,98
326,EAST,86
327,EAST,86
335,EAST,1174
336,EAST,46
337,EAST,1130
338,EAST,107
339,EAST,120
341,EAST,109
342,EAST,127
343,EAST,62.9
349,EAST,0
350,EAST,0
351,EAST,0
352,EAST,0
355,EAST,0
356,EAST,0
357,EAST,0
358,EAST,0
359,EAST,0
