timepoint,gross_load,wind_cap,wind_cf,solar_cap,solar_cf
1,106042.07,8368,0.481857113,2000,0
2,103444.39,8368,0.456739751,2000,0
3,101657.74,8368,0.440935925,2000,0
4,101223.22,8368,0.423252899,2000,0
5,101526.16,8368,0.409201787,2000,0
6,102474.61,8368,0.41295872,2000,0
7,104292.66,8368,0.409262709,2000,0
8,107050.6,8368,0.410283703,2000,0
9,109878.2,8368,0.363200938,2000,0.006256626
10,111703.21,8368,0.295501951,2000,0.075876368
11,112826.05,8368,0.262083895,2000,0.039045423
12,123019.52,8368,0.262714531,2000,0.043238632
13,132388.28,8368,0.260696059,2000,0.034929982
14,141639.1,8368,0.271471693,2000,0.113202611
15,151090.09,8368,0.279723063,2000,0.211138922
16,161145.41,8368,0.382972109,2000,0.251024875
17,171949.82,8368,0.53505762,2000,0.221631994
18,180138.66,8368,0.671329898,2000,0
19,187027.45,8368,0.721171301,2000,0
20,188907.12,8368,0.728735979,2000,0
21,172339.94,8368,0.722283432,2000,0
22,150627.01,8368,0.719103254,2000,0
23,128738.99,8368,0.723729011,2000,0
24,116274.98,8368,0.687010259,2000,0
25,106042.07,8368,0.689964032,2000,0
26,103444.39,8368,0.687260968,2000,0
27,101657.74,8368,0.68181434,2000,0
28,101223.22,8368,0.682787501,2000,0
29,101526.16,8368,0.691157284,2000,0
30,102474.61,8368,0.686956961,2000,0
31,104292.66,8368,0.65148422,2000,0
32,107050.6,8368,0.603276494,2000,0
33,109878.2,8368,0.554984823,2000,0.189203462
34,111703.21,8368,0.513002705,2000,0.385337468
35,112826.05,8368,0.465492485,2000,0.334269049
36,123019.52,8368,0.429304208,2000,0.364100905
37,132388.28,8368,0.412034743,2000,0.29143584
38,141639.1,8368,0.394493584,2000,0.275601729
39,151090.09,8368,0.383460721,2000,0.201304837
40,161145.41,8368,0.385321411,2000,0.306263571
41,171949.82,8368,0.390685151,2000,0.223590133
42,180138.66,8368,0.355510817,2000,0
43,187027.45,8368,0.616926094,2000,0
44,188907.12,8368,0.717938002,2000,0
45,172339.94,8368,0.722104373,2000,0
46,150627.01,8368,0.715494125,2000,0
47,128738.99,8368,0.710535158,2000,0
48,116274.98,8368,0.696127173,2000,0
