timepoint,zone,gross_load,wind_cf,solar_cf
1,EAST,19139.93597,0.481857113,0
2,EAST,18671.07084,0.456739751,0
3,EAST,18348.5916,0.440935925,0
4,EAST,18270.16343,0.423252899,0
5,EAST,18324.84222,0.409201787,0
6,EAST,18496.03157,0.41295872,0
7,EAST,18824.17832,0.409262709,0
8,EAST,19321.96938,0.410283703,0
9,EAST,19832.33364,0.363200938,0.006256626
10,EAST,20161.73663,0.295501951,0.075876368
11,EAST,20364.40229,0.262083895,0.039045423
12,EAST,22204.2604,0.262714531,0.043238632
13,EAST,23895.26348,0.260696059,0.034929982
14,EAST,25564.97912,0.271471693,0.113202611
15,EAST,27270.8242,0.279723063,0.211138922
16,EAST,29085.74709,0.382972109,0.251024875
17,EAST,31035.87609,0.53505762,0.221631994
18,EAST,32513.91092,0.671329898,0
19,EAST,33757.2948,0.721171301,0
20,EAST,34096.56357,0.728735979,0
21,EAST,31106.29033,0.722283432,0
22,EAST,27187.24113,0.719103254,0
23,EAST,23236.58927,0.723729011,0
24,EAST,20986.91276,0.687010259,0
25,EAST,19139.93597,0.689964032,0
26,EAST,18671.07084,0.687260968,0
27,EAST,18348.5916,0.68181434,0
28,EAST,18270.16343,0.682787501,0
29,EAST,18324.84222,0.691157284,0
30,EAST,18496.03157,0.686956961,0
31,EAST,18824.17832,0.65148422,0
32,EAST,19321.96938,0.603276494,0
33,EAST,19832.33364,0.554984823,0.189203462
34,EAST,20161.73663,0.513002705,0.385337468
35,EAST,20364.40229,0.465492485,0.334269049
36,EAST,22204.2604,0.429304208,0.364100905
37,EAST,23895.26348,0.412034743,0.29143584
38,EAST,25564.97912,0.394493584,0.275601729
39,EAST,27270.8242,0.383460721,0.201304837
40,EAST,29085.74709,0.385321411,0.306263571
41,EAST,31035.87609,0.390685151,0.223590133
42,EAST,32513.91092,0.355510817,0
43,EAST,33757.2948,0.616926094,0
44,EAST,34096.56357,0.717938002,0
45,EAST,31106.29033,0.722104373,0
46,EAST,27187.24113,0.715494125,0
47,EAST,23236.58927,0.710535158,0
48,EAST,20986.91276,0.696127173,0
1,WEST,51051.64417,0.481857113,0
2,WEST,49801.04773,0.456739751,0
