Gen_Index,zone,Capacity
1,NORTH,16.1
2,NORTH,44
3,NORTH,44
4,NORTH,219
8,NORTH,116
9,NORTH,79
10,NORTH,11
12,NORTH,16
13,NORTH,110
14,NORTH,80
15,NORTH,53.8
16,NORTH,45
17,NORTH,260
1574,NORTH,160
1575,NORTH,160
1576,NORTH,420
1579,NORTH,499
1580,NORTH,420
1582,NORTH,160
1583,NORTH,0
1586,NORTH,0
1566,NORTH,1182
1567,NORTH,625
1616,NORTH,92
1617,NORTH,28
1618,NORTH,17
1619,NORTH,92
1620,NORTH,12
1621,NORTH,44
1622,NORTH,42
1623,NORTH,121
1624,NORTH,177
1625,NORTH,120
1626,NORTH,120
1627,NORTH,545
1628,NORTH,120
1629,NORTH,541
1631,NORTH,121
1633,NORTH,94
1634,NORTH,94
1635,NORTH,94
1849,NORTH,10000
1,SOUTH,0
2,SOUTH,0
3,SOUTH,0
4,SOUTH,0
8,SOUTH,0
9,SOUTH,0
10,SOUTH,0
12,SOUTH,0
13,SOUTH,0
14,SOUTH,0
15,SOUTH,0
16,SOUTH,0
17,SOUTH,0
1574,SOUTH,0
1575,SOUTH,0
1576,SOUTH,0
1579,SOUTH,0
1580,SOUTH,0
1582,SOUTH,0
1583,SOUTH,420
1586,SOUTH,917
1566,SOUTH,0
1567,SOUTH,0
1616,SOUTH,0
1617,SOUTH,0
1618,SOUTH,0
1619,SOUTH,0
1620,SOUTH,0
1621,SOUTH,0
1622,SOUTH,0
1623,SOUTH,0
1624,SOUTH,0
1625,SOUTH,0
1626,SOUTH,0
1627,SOUTH,0
1628,SOUTH,0
1629,SOUTH,0
1631,SOUTH,0
1633,SOUTH,0
1634,SOUTH,0
1635,SOUTH,0
1849,SOUTH,0
