timepoint,zone,gross_load,wind_cf,solar_cf
1,NORTH,4930.956255,0.481857113,0
2,NORTH,4810.164135,0.456739751,0
3,NORTH,4727.08491,0.440935925,0
4,NORTH,4706.87973,0.423252899,0
5,NORTH,4720.96644,0.409201787,0
6,NORTH,4765.069365,0.41295872,0
7,NORTH,4849.60869,0.409262709,0
8,NORTH,4977.8529,0.410283703,0
9,NORTH,5109.3363,0.363200938,0.006256626
10,NORTH,5194.199265,0.295501951,0.075876368
11,NORTH,5246.411325,0.262083895,0.039045423
12,NORTH,5720.40768,0.262714531,0.043238632
13,NORTH,6156.05502,0.260696059,0.034929982
14,NORTH,6586.21815,0.271471693,0.113202611
15,NORTH,6750,0.279723063,0.211138922
16,NORTH,6750,0.382972109,0.251024875
17,NORTH,6750,0.53505762,0.221631994
18,NORTH,6750,0.671329898,0
19,NORTH,6750,0.721171301,0
20,NORTH,6750,0.728735979,0
21,NORTH,6750,0.722283432,0
22,NORTH,6750,0.719103254,0
23,NORTH,5986.363035,0.723729011,0
24,NORTH,5406.78657,0.687010259,0
25,NORTH,4930.956255,0.689964032,0
26,NORTH,4810.164135,0.687260968,0
27,NORTH,4727.08491,0.68181434,0
28,NORTH,4706.87973,0.682787501,0
29,NORTH,4720.96644,0.691157284,0
30,NORTH,4765.069365,0.686956961,0
31,NORTH,4849.60869,0.65148422,0
32,NORTH,4977.8529,0.603276494,0
33,NORTH,5109.3363,0.554984823,0.189203462
34,NORTH,5194.199265,0.513002705,0.385337468
35,NORTH,5246.411325,0.465492485,0.334269049
36,NORTH,5720.40768,0.429304208,0.364100905
37,NORTH,6156.05502,0.412034743,0.29143584
38,NORTH,6586.21815,0.394493584,0.275601729
39,NORTH,6750,0.383460721,0.201304837
40,NORTH,6750,0.385321411,0.306263571
41,NORTH,6750,0.390685151,0.223590133
42,NORTH,6750,0.355510817,0
43,NORTH,6750,0.616926094,0
44,NORTH,6750,0.717938002,0
45,NORTH,6750,0.722104373,0
46,NORTH,6750,0.715494125,0
47,NORTH,5986.363035,0.710535158,0
48,NORTH,5406.78657,0.696127173,0
1,SOUTH,547.8840283,0.481857113,0
2,SOUTH,534.4626817,0.456739751,0
3,SOUTH,525.2316567,0.440935925,0
4,SOUTH,522.9866367,0.423252899,0
5,SOUTH,524.5518267,0.409201787,0
6,SOUTH,529.4521517,0.41295872,0
7,SOUTH,538.84541,0.409262709,0
8,SOUTH,553.0947667,0.410283703,0
9,SOUTH,567.7040333,0.363200938,0.006256626
10,SOUTH,577.1332517,0.295501951,0.075876368
11,SOUTH,582.9345917,0.262083895,0.039045423
12,SOUTH,635.6008533,0.262714531,0.043238632
13,SOUTH,684.0061133,0.260696059,0.034929982
14,SOUTH,731.8020167,0.271471693,0.113202611
15,SOUTH,750,0.279723063,0.211138922
16,SOUTH,750,0.382972109,0.251024875
17,SOUTH,750,0.53505762,0.221631994
18,SOUTH,750,0.671329898,0
19,SOUTH,750,0.721171301,0
20,SOUTH,750,0.728735979,0
21,SOUTH,750,0.722283432,0
22,SOUTH,750,0.719103254,0
23,SOUTH,665.1514483,0.723729011,0
24,SOUTH,600.7540633,0.687010259,0
25,SOUTH,547.8840283,0.689964032,0
26,SOUTH,534.4626817,0.687260968,0
27,SOUTH,525.2316567,0.68181434,0
28,SOUTH,522.9866367,0.682787501,0
29,SOUTH,524.5518267,0.691157284,0
30,SOUTH,529.4521517,0.686956961,0
31,SOUTH,538.84541,0.65148422,0
32,SOUTH,553.0947667,0.603276494,0
33,SOUTH,567.7040333,0.554984823,0.189203462
34,SOUTH,577.1332517,0.513002705,0.385337468
35,SOUTH,582.9345917,0.465492485,0.334269049
36,SOUTH,635.6008533,0.429304208,0.364100905
37,SOUTH,684.0061133,0.412034743,0.29143584
38,SOUTH,731.8020167,0.394493584,0.275601729
39,SOUTH,750,0.383460721,0.201304837
40,SOUTH,750,0.385321411,0.306263571
41,SOUTH,750,0.390685151,0.223590133
42,SOUTH,750,0.355510817,0
43,SOUTH,750,0.616926094,0
44,SOUTH,750,0.717938002,0
45,SOUTH,750,0.722104373,0
46,SOUTH,750,0.715494125,0
47,SOUTH,665.1514483,0.710535158,0
48,SOUTH,600.7540633,0.696127173,0
