,MW on reserve segment
"1,1",0
"1,2",0
"1,3",0
"1,4",0
"1,5",21.00
"1,6",0
"1,7",0
"1,8",0
"1,9",448.77
"1,10",358.32
"1,11",1000.00
"1,12",1000.00
"1,13",1000.00
"1,14",1000.00
"1,15",1000.00
"1,16",935.90
"1,17",869.05
"1,18",802.20
"1,19",818.17
"1,20",825.74
"1,21",1000.00
"1,22",1000.00
"1,23",1000.00
"1,24",1000.00
"1,25",1000.00
"1,26",1000.00
"1,27",1000.00
"1,28",1000.00
"1,29",1000.00
"1,30",1000.00
"1,31",1000.00
"1,32",1000.00
"1,33",1000.00
"1,34",1000.00
"1,35",1000.00
"1,36",1000.00
"1,37",1000.00
"1,38",1000.00
"1,39",1000.00
"1,40",1000.00
"1,41",1000.00
"1,42",1000.00
"1,43",1000.00
"1,44",1000.00
"1,45",1000.00
"1,46",1000.00
"1,47",1000.00
"1,48",1000.00
"2,1",0
"2,2",0
"2,3",0
"2,4",0
"2,5",0
"2,6",0
"2,7",0
"2,8",0
"2,9",0
"2,10",0
"2,11",100.00
"2,12",100.00
"2,13",100.00
"2,14",69.60
"2,15",2.75
"2,16",0
"2,17",0
"2,18",0
"2,19",0
"2,20",0
"2,21",100.00
"2,22",100.00
"2,23",100.00
"2,24",100.00
"2,25",100.00
"2,26",100.00
"2,27",100.00
"2,28",100.00
"2,29",100.00
"2,30",100.00
"2,31",100.00
"2,32",100.00
"2,33",100.00
"2,34",100.00
"2,35",100.00
"2,36",100.00
"2,37",100.00
"2,38",100.00
"2,39",100.00
"2,40",100.00
"2,41",100.00
"2,42",100.00
"2,43",100.00
"2,44",100.00
"2,45",100.00
"2,46",100.00
"2,47",100.00
"2,48",100.00
"3,1",0
"3,2",0
"3,3",0
"3,4",0
"3,5",0
"3,6",0
"3,7",0
"3,8",0
"3,9",0
"3,10",0
"3,11",100.00
"3,12",100.00
"3,13",36.45
"3,14",0
"3,15",0
"3,16",0
"3,17",0
"3,18",0
"3,19",0
"3,20",0
"3,21",100.00
"3,22",100.00
"3,23",100.00
"3,24",100.00
"3,25",100.00
"3,26",100.00
"3,27",100.00
"3,28",100.00
"3,29",100.00
"3,30",100.00
"3,31",100.00
"3,32",100.00
"3,33",100.00
"3,34",100.00
"3,35",100.00
"3,36",100.00
"3,37",100.00
"3,38",100.00
"3,39",100.00
"3,40",100.00
"3,41",100.00
"3,42",100.00
"3,43",100.00
"3,44",100.00
"3,45",100.00
"3,46",100.00
"3,47",100.00
"3,48",100.00
"4,1",0
"4,2",0
"4,3",0
"4,4",0
"4,5",0
"4,6",0
"4,7",0
"4,8",0
"4,9",0
"4,10",0
"4,11",100.00
"4,12",3.30
"4,13",0
"4,14",0
"4,15",0
"4,16",0
"4,17",0
"4,18",0
"4,19",0
"4,20",0
"4,21",100.00
"4,22",100.00
"4,23",100.00
"4,24",100.00
"4,25",100.00
"4,26",100.00
"4,27",100.00
"4,28",100.00
"4,29",100.00
"4,30",100.00
"4,31",100.00
"4,32",100.00
"4,33",100.00
"4,34",100.00
"4,35",100.00
"4,36",100.00
"4,37",100.00
"4,38",100.00
"4,39",100.00
"4,40",100.00
"4,41",100.00
"4,42",100.00
"4,43",100.00
"4,44",100.00
"4,45",100.00
"4,46",100.00
"4,47",100.00
"4,48",100.00
"5,1",0
"5,2",0
"5,3",0
"5,4",0
"5,5",0
"5,6",0
"5,7",0
"5,8",0
"5,9",0
"5,10",0
"5,11",100.00
"5,12",0
"5,13",0
"5,14",0
"5,15",0
"5,16",0
"5,17",0
"5,18",0
"5,19",0
"5,20",0
"5,21",100.00
"5,22",100.00
"5,23",100.00
"5,24",100.00
"5,25",100.00
"5,26",100.00
"5,27",100.00
"5,28",100.00
"5,29",100.00
"5,30",100.00
"5,31",100.00
"5,32",100.00
"5,33",100.00
"5,34",100.00
"5,35",100.00
"5,36",100.00
"5,37",100.00
"5,38",100.00
"5,39",100.00
"5,40",100.00
"5,41",100.00
"5,42",100.00
"5,43",100.00
"5,44",100.00
"5,45",100.00
"5,46",100.00
"5,47",100.00
"5,48",100.00
"6,1",0
"6,2",0
"6,3",0
"6,4",0
"6,5",0
"6,6",0
"6,7",0
"6,8",0
"6,9",0
"6,10",0
"6,11",96.81
"6,12",0
"6,13",0
"6,14",0
"6,15",0
"6,16",0
"6,17",0
"6,18",0
"6,19",0
"6,20",0
"6,21",100.00
"6,22",100.00
"6,23",100.00
"6,24",100.00
"6,25",100.00
"6,26",100.00
"6,27",100.00
"6,28",100.00
"6,29",100.00
"6,30",100.00
"6,31",100.00
"6,32",100.00
"6,33",100.00
"6,34",100.00
"6,35",100.00
"6,36",100.00
"6,37",100.00
"6,38",100.00
"6,39",100.00
"6,40",100.00
"6,41",100.00
"6,42",100.00
"6,43",100.00
"6,44",100.00
"6,45",100.00
"6,46",100.00
"6,47",100.00
"6,48",100.00
"7,1",0
"7,2",0
"7,3",0
"7,4",0
"7,5",0
"7,6",0
"7,7",0
"7,8",0
"7,9",0
"7,10",0
"7,11",0
"7,12",0
"7,13",0
"7,14",0
"7,15",0
"7,16",0
"7,17",0
"7,18",0
"7,19",0
"7,20",0
"7,21",100.00
"7,22",100.00
"7,23",100.00
"7,24",100.00
"7,25",100.00
"7,26",100.00
"7,27",100.00
"7,28",100.00
"7,29",100.00
"7,30",100.00
"7,31",100.00
"7,32",100.00
"7,33",100.00
"7,34",100.00
"7,35",100.00
"7,36",100.00
"7,37",100.00
"7,38",100.00
"7,39",100.00
"7,40",100.00
"7,41",100.00
"7,42",100.00
"7,43",100.00
"7,44",100.00
"7,45",100.00
"7,46",100.00
"7,47",100.00
"7,48",100.00
"8,1",0
"8,2",0
"8,3",0
"8,4",0
"8,5",0
"8,6",0
"8,7",0
"8,8",0
"8,9",0
"8,10",0
"8,11",0
"8,12",0
"8,13",0
"8,14",0
"8,15",0
"8,16",0
"8,17",0
"8,18",0
"8,19",0
"8,20",0
"8,21",100.00
"8,22",100.00
"8,23",100.00
"8,24",100.00
"8,25",100.00
"8,26",100.00
"8,27",100.00
"8,28",100.00
"8,29",100.00
"8,30",100.00
"8,31",100.00
"8,32",100.00
"8,33",100.00
"8,34",100.00
"8,35",100.00
"8,36",100.00
"8,37",100.00
"8,38",100.00
"8,39",100.00
"8,40",100.00
"8,41",100.00
"8,42",100.00
"8,43",100.00
"8,44",100.00
"8,45",100.00
"8,46",100.00
"8,47",100.00
"8,48",100.00
"9,1",0
"9,2",0
"9,3",0
"9,4",0
"9,5",0
"9,6",0
"9,7",0
"9,8",0
"9,9",0
"9,10",0
"9,11",0
"9,12",0
"9,13",0
"9,14",0
"9,15",0
"9,16",0
"9,17",0
"9,18",0
"9,19",0
"9,20",0
"9,21",91.37
"9,22",100.00
"9,23",100.00
"9,24",100.00
"9,25",100.00
"9,26",100.00
"9,27",100.00
"9,28",100.00
"9,29",100.00
"9,30",100.00
"9,31",100.00
"9,32",100.00
"9,33",100.00
"9,34",100.00
"9,35",100.00
"9,36",100.00
"9,37",100.00
"9,38",100.00
"9,39",100.00
"9,40",100.00
"9,41",100.00
"9,42",41.92
"9,43",100.00
"9,44",100.00
"9,45",100.00
"9,46",100.00
"9,47",100.00
"9,48",100.00
"10,1",0
"10,2",0
"10,3",0
"10,4",0
"10,5",0
"10,6",0
"10,7",0
"10,8",0
"10,9",0
"10,10",0
"10,11",0
"10,12",0
"10,13",0
"10,14",0
"10,15",0
"10,16",0
"10,17",0
"10,18",0
"10,19",0
"10,20",0
"10,21",0
"10,22",44.11
"10,23",200.00
"10,24",200.00
"10,25",200.00
"10,26",200.00
"10,27",200.00
"10,28",200.00
"10,29",200.00
"10,30",200.00
"10,31",200.00
"10,32",200.00
"10,33",200.00
"10,34",200.00
"10,35",200.00
"10,36",200.00
"10,37",200.00
"10,38",200.00
"10,39",200.00
"10,40",200.00
"10,41",200.00
"10,42",0
"10,43",200.00
"10,44",200.00
"10,45",200.00
"10,46",200.00
"10,47",200.00
"10,48",200.00
