,0
NORTH-1,10000.00
NORTH-2,10000.00
NORTH-3,10000.00
NORTH-4,10000.00
NORTH-5,10000.00
NORTH-6,10000.00
NORTH-7,10000.00
NORTH-8,10000.00
NORTH-9,879.19
NORTH-10,880.46
NORTH-11,179.19
NORTH-12,10000.00
NORTH-13,10000.00
NORTH-14,10000.00
NORTH-15,10000.00
NORTH-16,10000.00
NORTH-17,10000.00
NORTH-18,10000.00
NORTH-19,10000.00
NORTH-20,10000.00
NORTH-21,40.00
NORTH-22,73.14
NORTH-23,5.23
NORTH-24,4.30
NORTH-25,0
NORTH-26,0
NORTH-27,0
NORTH-28,0
NORTH-29,0
NORTH-30,0
NORTH-31,0
NORTH-32,0
NORTH-33,0
NORTH-34,0
NORTH-35,0
NORTH-36,24.86
NORTH-37,5.23
NORTH-38,29.19
NORTH-39,29.19
NORTH-40,29.19
NORTH-41,29.19
NORTH-42,69.19
NORTH-43,29.19
NORTH-44,28.84
NORTH-45,29.19
NORTH-46,30.46
NORTH-47,3.03
NORTH-48,0
SOUTH-1,10000.00
SOUTH-2,10000.00
SOUTH-3,10000.00
SOUTH-4,10000.00
SOUTH-5,10000.00
SOUTH-6,10000.00
SOUTH-7,10000.00
SOUTH-8,10000.00
SOUTH-9,879.19
SOUTH-10,880.46
SOUTH-11,179.19
SOUTH-12,10000.00
SOUTH-13,10000.00
SOUTH-14,10000.00
SOUTH-15,10000.00
SOUTH-16,10000.00
SOUTH-17,10000.00
SOUTH-18,10000.00
SOUTH-19,850.00
SOUTH-20,850.00
SOUTH-21,40.00
SOUTH-22,20.00
SOUTH-23,0
SOUTH-24,0
SOUTH-25,0
SOUTH-26,0
SOUTH-27,0
SOUTH-28,0
SOUTH-29,0
SOUTH-30,0
SOUTH-31,0
SOUTH-32,0
SOUTH-33,0
SOUTH-34,0
SOUTH-35,0
SOUTH-36,0
SOUTH-37,0
SOUTH-38,0
SOUTH-39,0
SOUTH-40,0
SOUTH-41,0
SOUTH-42,40.00
SOUTH-43,0
SOUTH-44,0
SOUTH-45,0
SOUTH-46,0
SOUTH-47,0
SOUTH-48,0
