Gen_Index,Capacity,Fuel_Cost
1,16.1,30
2,44,50
3,44,30
4,219,25
8,116,30
9,79,25
10,11,25
12,16,80
13,110,25
14,80,25
15,53.8,25
16,45,25
17,260,30
18,43,25
19,46,25
20,46,25
24,58,25
25,58,25
26,23,25
32,217,25
33,50,25
35,57,25
36,400,30
37,88,25
38,65,25
40,180,25
42,75,25
43,159,30
44,63,25
45,63,25
46,63,25
47,15,30
48,30,50
49,31,50
50,59,50
51,31,50
52,56,50
54,56,50
55,260,25
56,56,50
57,56,50
58,56,50
59,56,50
60,32,5
61,32,5
62,32,5
63,32,5
64,151,25
65,290,25
66,45,5
67,45,5
68,45,5
69,45,5
70,45,5
71,45,5
72,225,25
73,116,25
78,14,50
79,190,25
80,195,25
81,98,25
82,400,25
83,135,25
84,319,25
85,131,25
86,14,50
87,16,50
88,16,50
89,16,50
90,16,50
91,16,50
92,16,50
93,16,50
94,16,50
96,173,50
97,120,50
98,61,50
99,61,50
100,61,50
101,16,50
102,16,50
103,16,50
104,16,50
105,22,50
106,208,50
107,208,50
108,22,50
110,208,50
112,121,50
113,10,80
114,21,50
115,156,25
116,10,5
117,10,5
120,18,50
121,93,50
122,35,50
123,99,50
124,343,25
125,612,25
126,120,50
127,99,50
128,612,25
129,341,25
130,120,50
131,13,50
132,167,50
133,182,25
134,182,25
135,167,50
136,182,25
137,65,50
138,65,50
139,65,50
140,65,50
141,20,50
142,583,25
143,583,25
144,20,50
145,65,5
146,48,5
147,65,5
148,65,5
149,36,5
150,48,5
151,36,5
152,36,5
153,36,5
154,65,5
155,48,5
156,4.1,80
157,3.6,80
158,2,80
159,1.5,80
160,5.6,80
161,3.5,80
162,1.5,80
163,5.6,80
164,2,80
165,2.5,80
166,0.6,5
167,0.6,5
168,0.6,5
169,0.6,5
170,0.6,5
171,0.6,5
172,0.6,5
173,0.6,5
174,0.6,5
175,0.6,5
176,0.6,5
177,0.6,5
178,0.5,5
179,0.4,5
180,0.4,5
181,0.4,5
182,0.4,5
183,0.5,5
184,0.5,5
185,0.5,5
186,0.4,5
187,0.4,5
188,0.3,5
189,0.3,5
190,0.3,5
191,0.3,5
192,1,5
193,1,5
194,1,5
195,1,5
196,1023,10
200,155,25
204,43,50
205,43,50
225,637,10
226,77,50
227,77,50
229,77,50
230,73,50
232,70,30
236,70,30
237,70,30
240,70,30
242,183,50
243,104,30
249,596,30
250,675,30
254,42,50
259,42,50
262,42,50
266,42,50
285,93,50
297,44.5,50
298,44.5,50
299,44.5,50
301,44.5,50
303,44,50
305,44.5,50
308,44,50
309,44,50
310,44.5,50
313,44,50
316,545,30
317,545,30
320,98,50
325,98,50
326,86,50
327,86,50
335,1174,10
336,46,50
337,1130,10
338,107,25
339,120,25
341,109,25
342,127,25
343,62.9,50
349,57,5
350,56,5
351,56,5
352,56,5
355,26,5
356,25,5
357,23,5
358,25,5
359,3,80
360,3,80
361,3,80
362,3,80
363,3,80
364,600,25
365,630,25
366,600,25
377,21,50
378,21,50
379,20,50
380,110,50
382,20,50
383,20,50
384,500,25
385,20,50
386,500,25
387,20,50
390,29,50
391,640,25
393,31,50
402,375,25
403,780,25
406,375,25
408,102,50
409,102,50
410,100,50
411,2.5,80
412,2.5,80
413,2.5,80
414,2.5,80
415,23,50
423,585,25
425,585,25
426,2.5,80
428,2.5,80
430,585,25
432,2.5,80
433,2.5,80
434,2.4,80
435,2.4,80
436,2.4,80
437,2.4,80
438,2.4,80
439,2.4,80
440,2.4,80
441,2.4,80
442,2.4,80
443,2.4,80
444,18,50
445,18,50
446,18,50
447,22,50
448,22,50
449,18,50
450,22,50
455,30,50
465,3,80
466,2,80
467,180,25
468,600,25
469,180,25
470,180,25
471,3,80
472,300,25
473,2,80
474,180,25
476,3,80
477,600,25
478,90,50
479,64,50
480,90,50
481,64,50
482,90,50
483,90,50
484,90,50
490,205,25
491,205,25
492,205,25
493,205,25
494,205,25
497,150,25
498,18,50
500,135,50
501,15,50
502,135,50
503,135,50
504,18,50
505,15,50
506,19,50
507,20,50
510,58,30
511,147,30
512,58,30
513,58,30
514,175,25
515,95,25
516,105,25
517,95,25
518,26,50
519,27,50
520,27,50
521,27,50
522,27,50
523,27,50
524,26,50
525,26,50
526,158,25
527,243,25
528,19,50
529,156,50
530,26,50
531,20,50
535,19,50
536,27,50
537,27,50
538,19,5
539,3,80
540,3,80
541,3,80
542,850,25
543,3,80
544,850,25
545,26,50
546,650,25
548,614,25
551,620,25
552,9,5
553,9,5
554,9,5
556,518,25
558,180,25
559,2,80
560,2,80
561,128,25
562,2,80
563,180,25
564,130,25
565,79,50
569,850,25
570,3,80
571,850,25
572,3,80
573,3,80
574,3,80
575,140,25
576,92,25
577,93,25
578,3,80
579,3,80
580,18,50
581,18,50
582,18,50
583,18,50
586,390,25
587,745,25
589,334,25
590,18,50
591,18,50
592,18,50
594,18,50
595,18,50
596,18,50
597,18,50
598,10,5
599,11,5
600,1.25,5
601,10,5
602,11,5
603,1.25,5
604,10,5
605,11,5
606,13,5
607,11,5
609,64.6,5
610,12,5
611,64.6,5
612,10,5
613,18,50
614,18,50
615,18,50
619,24,50
620,24,50
621,820,25
622,24,50
623,24,50
625,850,25
626,755,25
627,757,25
628,15,25
629,24,50
630,3,80
631,3,80
633,24,50
638,22,5
639,22,5
640,18,50
641,18,50
642,18,50
643,18,50
644,18,50
645,18,50
646,18,50
650,18,50
651,18,50
654,20,50
655,18,50
657,18,50
658,20,50
659,18,50
660,380,25
661,20,50
662,380,25
665,20,50
666,20,50
667,20,50
668,20,50
669,20,50
670,20,50
671,133,5
672,134,5
673,134,5
674,134,5
675,134,5
676,134,5
677,134,5
678,133,5
679,1112,10
680,1112,10
681,66,50
682,66,50
683,18,50
684,20,50
687,18,50
688,18,50
689,18,50
690,18,50
691,37,5
692,33,5
693,38,5
694,38,5
695,32,5
696,32,5
697,38,5
698,32,5
699,38,5
700,32,5
701,32,5
702,33,5
704,24,30
705,48,30
706,48,30
712,33,5
713,33,5
714,33,5
715,18,5
716,18,5
717,18,5
718,25,5
719,25,5
720,25,5
721,25,5
722,28,5
723,3,5
724,3,5
725,3,5
726,5.4,5
727,5.4,5
728,5.4,5
729,5.4,5
730,18.8,5
731,18.8,5
732,18.8,5
733,18.8,5
734,230,25
735,230,25
739,25,5
740,25,5
741,2,5
742,2,5
743,12.5,5
749,105,5
750,66,5
751,66,5
752,174,5
753,174,5
754,12,80
755,33,50
763,671,25
764,171,25
765,105,25
766,317,25
767,232,30
768,235,30
769,2,5
770,12,50
771,12,50
772,12,50
773,12,50
774,19,50
775,19,50
776,19,50
777,19,50
778,18,50
779,19,50
783,18,50
789,18,50
791,16,50
793,16,50
794,16,50
795,786,25
796,16,50
797,221,25
798,105,25
799,16,50
800,16,50
801,610,30
802,815,10
803,810,10
804,163,25
805,172,25
806,820,25
807,37,5
808,37,5
809,37,5
810,37,5
811,37,5
812,37,5
813,14,5
814,7,5
815,1,5
816,7,5
817,518,25
818,518,25
819,800,25
820,1300,25
821,800,25
829,50,25
833,557,25
834,552,25
835,642,25
836,651,25
837,640,25
848,800,25
851,800,25
852,536,25
853,536,25
854,16,50
855,536,25
856,6.3,80
857,1.5,80
858,6.3,80
859,1.5,80
860,6.3,80
861,5.1,50
862,6.3,80
863,5.1,50
864,23.4,5
865,23.4,5
866,23.4,5
867,0.33,5
868,0.33,5
869,0.33,5
870,0.33,5
871,0.33,5
872,0.33,5
873,1.68,5
874,1.68,5
875,29,5
876,52,25
877,53,50
879,30,25
880,19,25
881,4.6,50
882,44,50
883,4.6,50
885,12,80
