,X,UTILUNIT,ID6,ORISPL,RATINGMW,LAT,LON,ALBERSLON,ALBERSLAT,ZONE,GEN_HEATRATE
1,1,242-185,CC,10030,16.1,39.149549,-75.547335,0.118298979,-3.306846205,DPL,7.460608739
2,2,242-322,CT,10030,44,39.149549,-75.547335,0.118298979,-3.306846205,DPL,7.460608739
3,3,242-301,CC,10030,44,39.149549,-75.547335,0.118298979,-3.306846205,DPL,7.460608739
4,4,287-807,ST,10043,219,39.7928,-75.406667,0.119947061,-3.296286928,DPL,11.83906363
5,5,215-851,DS,10045,3,39.8217,-75.0914,0.124463622,-3.295649217,AE,10.23278725
6,6,328-603,ST,10071,57.5,36.8702,-76.3529,0.107889431,-3.344895529,DOM,10.3347213
7,7,328-602,ST,10071,57.5,36.8702,-76.3529,0.107889431,-3.344895529,DOM,10.3347213
8,8,231-804,CC,10099,116,39.7668,-75.4238,0.119715987,-3.296718489,AE,9.067710284
9,9,212-185,ST,10113,82,40.7903,-76.1983,0.108029189,-3.28054724,PPL,12.76855438
10,10,212-840,ST,10118,11,40.244242,-76.853872,0.098909839,-3.289656311,METED,10.3347213
11,11,212-187,ST,10118,11,40.244242,-76.853872,0.098909839,-3.289656311,METED,10.3347213
12,12,211-899,DS,10129,18.1,40.6144,-79.1594,0.065692599,-3.284503662,PENELEC,10.23278725
13,13,211-182,ST,10143,110,40.55,-78.8,0.070865614,-3.285435591,PENELEC,10.8126462
14,14,417-102,ST,10151,80,39.561831,-80.163138,0.051573664,-3.301826122,APS,13.7329426
15,15,394-801,ST,10252,53.8,36.5489,-82.5667,0.017198895,-3.351959893,SERC,10.3347213
16,16,919-101,ST,10252,45,36.5489,-82.5667,0.017198895,-3.351959893,SERC,10.3347213
17,17,223-890,CC,10308,325.9,40.439,-74.3444,0.13479458,-3.285228381,PSEG,8.508649056
18,18,246-184,ST,10343,43,40.811189,-76.452951,0.10437333,-3.280329075,PPL,14.16693626
19,19,328-601,ST,10377,46,37.2939,-77.2697,0.0943087,-3.338244481,DOM,7.135336835
20,20,328-600,ST,10377,46,37.2939,-77.2697,0.0943087,-3.338244481,DOM,7.135336835
21,21,303-131,ST,10380,30,34.647155,-78.64151,0.075315494,-3.383217338,SERC,10.3347213
22,22,303-132,ST,10382,30,34.59,-78.9968,0.070090679,-3.384300034,SERC,10.3347213
23,23,211-895,CC,10383,15,41.1405,-78.9632,0.068327881,-3.275983722,PENELEC,7.367278824
24,24,328-605,ST,10384,58,36.037318,-77.753345,0.087812651,-3.359433356,DOM,48.3978481
25,25,328-604,ST,10384,58,36.037318,-77.753345,0.087812651,-3.359433356,DOM,48.3978481
26,26,205-892,ST,10435,23,39.9092,-75.1169,0.124043425,-3.294242063,AE,22.09218728
27,27,212-181,ST,10485,30,39.2845,-76.6207,0.102741767,-3.305158405,BG&E,10.3347213
28,28,239-831,ST,10485,152,39.2845,-76.6207,0.102741767,-3.305158405,BG&E,10.3347213
29,29,303-130,ST,10525,47,35.130193,-77.167883,0.096832828,-3.374482615,SERC,10.3347213
30,30,233-402,DS,10557,1,40.3753,-76.4154,0.10513562,-3.287341501,METED,10.23278725
31,31,233-401,DS,10557,1,40.3753,-76.4154,0.10513562,-3.287341501,METED,10.23278725
32,32,201-806,ST,10566,239.9,39.693494,-75.485811,0.118866942,-3.297942855,DPL,10.30940239
33,33,211-183,ST,10603,50,40.455,-78.7472,0.071655961,-3.286953059,PENELEC,15.21585312
34,34,205-897,CC,10616,27,40.5642,-74.9494,0.12604418,-3.283552261,JCPL,7.367278824
35,35,294-805,ST,10629,57,39.266041,-76.629653,0.102622012,-3.305463939,BG&E,12.66551196
36,36,508-852,CC,10633,400,37.291667,-77.281111,0.094143536,-3.338286294,DOM,8.915279036
37,37,211-181,ST,10641,88,40.474167,-78.7014,0.072306014,-3.286629085,PENELEC,10.74466385
38,38,281-866,ST,10643,65,40.7376,-74.1255,0.137730217,-3.280284151,PSEG,22.19879024
39,39,249-101,ST,10676,125.1,40.657218,-80.353929,0.048562359,-3.284110935,AEP,10.3347213
40,40,417-650,ST,10678,180,39.595171,-78.745333,0.071986924,-3.300900711,APS,8.863216033
41,41,212-188,ST,10731,8,41.3327,-77.024,0.095954065,-3.272208769,PENELEC,10.3347213
42,42,201-800,ST,10746,75,39.8265,-75.3882,0.120192696,-3.295729653,AE,18.71479193
43,43,256-858,CC,10751,159,39.9175,-75.1192,0.124005294,-3.29410858,AE,9.271345039
44,44,328-127,ST,10771,63,37.297834,-77.282982,0.094113393,-3.338184543,DOM,15.98525681
45,45,328-126,ST,10773,63,37.118674,-79.273551,0.065174558,-3.341857122,DOM,15.08260422
46,46,328-128,ST,10774,63,36.6525,-76.9953,0.09862032,-3.348819505,DOM,15.49712188
47,47,205-898,CC,10805,15,40.6781,-74.2744,0.135638597,-3.281331065,PSEG,8.515515325
48,48,269-302,CT,10870,30,40.928161,-76.040929,0.110207248,-3.278255093,PPL,14.71184245
49,49,269-304,CT,10870,31.2,40.928161,-76.040929,0.110207248,-3.278255093,PPL,14.71184245
50,50,269-301,CT,10870,59,40.928161,-76.040929,0.110207248,-3.278255093,PPL,14.71184245
51,51,269-303,CT,10870,31,40.928161,-76.040929,0.110207248,-3.278255093,PPL,14.71184245
52,52,449-391,CT,1353,56,38.1707,-82.6176,0.016322128,-3.325008579,AEP,10.26599634
53,53,414-102,ST,1353,800,38.1707,-82.6176,0.016322128,-3.325008579,AEP,10.3347213
54,54,449-394,CT,1353,56,38.1707,-82.6176,0.016322128,-3.325008579,AEP,10.26599634
55,55,414-101,ST,1353,280,38.1707,-82.6176,0.016322128,-3.325008579,AEP,10.26599634
56,56,449-395,CT,1353,56,38.1707,-82.6176,0.016322128,-3.325008579,AEP,10.26599634
57,57,449-393,CT,1353,56,38.1707,-82.6176,0.016322128,-3.325008579,AEP,10.26599634
58,58,449-396,CT,1353,56,38.1707,-82.6176,0.016322128,-3.325008579,AEP,10.26599634
59,59,449-392,CT,1353,56,38.1707,-82.6176,0.016322128,-3.325008579,AEP,10.26599634
60,60,341-512,HD,1371,32,37.0217,-88.2211,-0.065343137,-3.343469853,SERC,9.213000631
61,61,341-511,HD,1371,32,37.0217,-88.2211,-0.065343137,-3.343469853,SERC,9.213000631
62,62,341-510,HD,1371,32,37.0217,-88.2211,-0.065343137,-3.343469853,SERC,9.213000631
63,63,341-513,HD,1371,32,37.0217,-88.2211,-0.065343137,-3.343469853,SERC,9.213000631
64,64,356-101,ST,1374,151,37.7942,-87.0608,-0.048229356,-3.330924409,MISO,11.71671571
65,65,356-102,ST,1374,290,37.7942,-87.0608,-0.048229356,-3.330924409,MISO,11.71671571
66,66,341-537,HD,1380,45,36.8691,-85.147,-0.020507264,-3.346590586,SERC,9.212999112
67,67,341-536,HD,1380,45,36.8691,-85.147,-0.020507264,-3.346590586,SERC,9.212999112
68,68,341-535,HD,1380,45,36.8691,-85.147,-0.020507264,-3.346590586,SERC,9.212999112
69,69,341-532,HD,1380,45,36.8691,-85.147,-0.020507264,-3.346590586,SERC,9.212999112
70,70,341-533,HD,1380,45,36.8691,-85.147,-0.020507264,-3.346590586,SERC,9.212999112
71,71,341-534,HD,1380,45,36.8691,-85.147,-0.020507264,-3.346590586,SERC,9.212999112
72,72,410-102,ST,1384,225,36.9981,-84.5919,-0.012393526,-3.344478747,EKPC,10.81352308
73,73,410-101,ST,1384,116,36.9981,-84.5919,-0.012393526,-3.344478747,EKPC,10.81352308
74,74,410-142,ST,1385,23,37.8806,-84.2619,-0.007544598,-3.329834709,EKPC,10.3347213
75,75,410-143,ST,1385,75,37.8806,-84.2619,-0.007544598,-3.329834709,EKPC,10.3347213
76,76,410-144,ST,1385,75,37.8806,-84.2619,-0.007544598,-3.329834709,EKPC,10.3347213
