"","UTILUNIT","RECORDDATE","NETACTGEN","SERVHOUR","RESHOUR","PUMPHOUR","SYNCHOUR"
"247238","341-506","2014-01",12433,335.6,408.4,0,0
"247239","341-507","2014-01",1734.7,237.2,506.8,0,0
"247315","213-501","2014-01",10814,333.5,354.45,0,0
"247316","213-502","2014-01",15971,536.67,194.73,0,0
"247317","213-503","2014-01",20689,561.75,180.53,0,0
"247318","213-504","2014-01",17835,480,259.67,0,0
"247319","213-505","2014-01",16469,524,220,0,0
"247320","213-506","2014-01",8012,233,511,0,0
"247321","213-507","2014-01",15682,443,301,0,0
"247322","213-508","2014-01",20775,388,356,0,0
"247323","213-509","2014-01",24149,458,286,0,0
"247324","213-510","2014-01",24459,459,285,0,0
"247325","213-511","2014-01",26670,475,269,0,0
"247326","213-521","2014-01",7202,287,296.3,152,0
"247327","213-522","2014-01",-9597,93.3,482,160,0
"247608","213-523","2014-01",768,267,264.3,204,0
"247609","213-524","2014-01",-10573,113,435.82,185,0
"247610","213-525","2014-01",249,205,370.58,163,0
"247611","213-526","2014-01",-4852,181,377,186,0
"247612","213-527","2014-01",-1964,287,220,237,0
"247613","213-528","2014-01",-11570,130,407,207,0
"247984","205-561","2014-01",-8047,221.9,293.53,228.57,0
"248020","205-563","2014-01",-6803,163.87,404.18,175.95,0
"248367","401-531","2014-01",4213.52,738.87,5.13,0,0
"248371","401-532","2014-01",2881,511.83,207.6,0,0
"248372","401-533","2014-01",3302.93,560.22,152.2,0,0
"248553","200-912","2014-01",1449,98.05,268.95,0,377
"248554","200-914","2014-01",8824,493.14,98.27,0,52.92
"248886","924-501","2014-01",992.13,469,0,0,0
"249239","297-571","2014-01",-24872,125.35,397.82,220,0
"249240","297-572","2014-01",10525,70.57,661.33,12.1,0
"249241","297-573","2014-01",3517,133.68,610.32,0,0
"249285","297-500","2014-01",3544,337.5,134.25,0,272.25
"249286","297-501","2014-01",2662,253.5,284.5,0,206
"249287","297-502","2014-01",2929,278.98,328,0,137.02
"249288","297-503","2014-01",1853,176.5,417.5,0,150
"249289","297-505","2014-01",2520,722.88,0,0,0
"249290","297-506","2014-01",2714,742.55,0,0,0
"249291","297-517","2014-01",5195,744,0,0,0
"250002","441-501","2014-01",12571.2,744,0,0,0
"250003","441-502","2014-01",11936.8,744,0,0,0
"250007","441-503","2014-01",7326.2,743.2,0,0,0
"250008","441-504","2014-01",0,0,0,0,0
"250009","441-505","2014-01",0,0,0,0,0
"252441","262-529","2014-01",5163.67,719,0,0,0
"252719","200-913","2014-01",5392,273.47,427.15,0,43.38
"252721","200-915","2014-01",11062,548.83,118.27,0,76.9
"252722","200-916","2014-01",11168,554.13,113.57,0,76.3
