,X,ORISPL,UTILITY,UNIT,UNITNAME,SHORTNAME,RETIRED,RETIRED_DATE,STATION,EMS_ID,ID1,ID2,ID3,ID4,RSTATIONCODE,RUNITCODE,RS_REQUIRED,DAILY_DETAIL,DAYLIGHTSAVINGS,RULESET,TIME_ZONE,NET_MAX_CAP_SUM,NET_MAX_CAP_WIN,INST_CAP_SUM,INST_CAP_WIN,LOADING_CHAR,PRIMARY_FUEL,SECONDARY_FUEL,TERTIARY_FUEL,QUARTERNARY_FUEL,DELETED,MODIFIER,MODIFIEDDATE,PNODEID,EMKTID,ROLLUP_EMKTID,COMMISSION_DATE,UTILUNIT,RATINGMW,ID6,STATE,LAT,LON,WEATHERSTATION
1,1,10030,242,185,General Foods 1 NUG,GenFd1 NUG,0,NA,NA,,CC,N,,812,,NA,Y,Y,Y,PJMISO,EST,16.1,16.1,15,15,1,WH,GG,,,N,999bell,09OCT2017:19:30:29,,80100101,80100101,5/1/2013,242-185,16.1,CC,DE,39.149549,-75.547335,13735
2,2,10030,242,322,Kent CT 2,KentCT2,0,NA,NA,,CT,N,,NA,,NA,Y,Y,Y,PJMISO,EST,44,44,44,44,3,GG,DI,,,N,999bell,27FEB2014:06:22:26,,80512102,80512102,1/1/1980,242-322,44,CT,DE,39.149549,-75.547335,13735
3,3,10030,242,301,Kent CT 1,KentCT1,0,NA,NA,,CC,N,,812,,NA,Y,Y,Y,PJMISO,EST,44,44,44,44,3,GG,,,,N,999bell,09OCT2017:19:31:01,,80100101,80512101,5/1/2013,242-301,44,CC,DE,39.149549,-75.547335,13735
4,4,10043,287,807,LGP NUG (Logan),LGP NUG,0,NA,NA,,ST,Y,,NA,,NA,Y,Y,Y,PJMISO,EST,219,219,219,219,1,CC,DI,,,N,999bell,06OCT2009:14:13:28,,70950101,70950101,1/1/1980,287-807,219,ST,NJ,39.7928,-75.406667,13739
5,5,10045,215,851,Kinsley Landfill,Kinsly Lnd,1,10/1/2014,NA,,DS,Y,,NA,,NA,Y,Y,Y,PJMISO,EST,3,3,0.9,0.9,5,OG,,,,N,999pomian,12NOV2014:15:23:02,,10282101,10052101,1/1/1980,215-851,3,DS,NJ,39.8217,-75.0914,13739
6,6,10071,328,603,Cogentrix Portsmouth 2 (Lk.Kingman),CognPort2,1,7/1/2015,NA,,ST,N,,NA,,NA,Y,Y,Y,PJMISO,EST,52,52,57.5,57.5,2,CC,,,,N,999pomian,10DEC2015:15:12:00,15068,96380101,96380101,1/1/1980,328-603,57.5,ST,VA,36.8702,-76.3529,13737
7,7,10071,328,602,Cogentrix Portsmouth 1 (Lk.Kingman),CognPort1,1,7/1/2015,NA,,ST,N,,NA,,NA,Y,Y,Y,PJMISO,EST,52,52,57.5,57.5,2,CC,,,,N,999pomian,10DEC2015:15:11:47,15068,96380101,96380101,1/1/1980,328-602,57.5,ST,VA,36.8702,-76.3529,13737
8,8,10099,231,804,PCLP1 NUG,PCLP11 NUG,0,NA,NA,,CC,Y,,NA,,NA,Y,Y,Y,PJMISO,EST,111,116,115.3,115.3,4,GG,KE,,,N,999pomian,30MAR2016:13:32:21,,32920101,32920101,1/1/1980,231-804,116,CC,NJ,39.7668,-75.4238,13739
9,9,10113,212,185,Gilberton NUG,GilbrtnNUG,0,NA,NA,,FB,Y,,NA,,NA,Y,Y,Y,PJMISO,EST,82,79,82,82,1,CC,,,,N,999pomian,17FEB2016:09:32:58,,31230101,31230101,1/1/1980,212-185,82,ST,PA,40.7903,-76.1983,14777
10,10,10118,212,840,Harrisburg NUG,Hbg NUG,0,NA,NA,,ST,N,,NA,,NA,Y,Y,Y,PJMISO,EST,11,11,9,9,2,OS,,,,N,999pomian,30JAN2015:10:40:42,,31240101,31240101,2/1/2007,212-840,11,ST,PA,40.244242,-76.853872,14778
11,11,10118,212,187,Harrisburg Steam NUG,HarrsbgNUG,1,1/1/2005,NA,,ST,Y,,NA,,NA,Y,Y,Y,PJMISO,EST,6,5,11,11,1,OS,,,,N,admin,02MAR2007:13:44:00,,31240101,,1/1/1980,212-187,11,ST,PA,40.244242,-76.853872,14778
12,12,10129,211,899,IUP NUG,IUP NUG,0,NA,NA,,DS,Y,,NA,,NA,Y,Y,Y,PJMISO,EST,16,16,13,13,1,DI,,,,N,999pomian,16AUG2013:10:44:48,,53680101,53680101,1/1/1980,211-899,18.1,DS,PA,40.6144,-79.1594,14736
