"","UTILUNIT","ID6","ORISPL","RATINGMW","LAT","LON"
"1","242-185","CC","10030",16.1,39.149549,-75.547335
"2","242-322","CT","10030",44,39.149549,-75.547335
"3","242-301","CC","10030",44,39.149549,-75.547335
"4","287-807","ST","10043",219,39.7928,-75.406667
"5","215-851","DS","10045",3,39.8217,-75.0914
"6","328-603","ST","10071",57.5,36.8702,-76.3529
"7","328-602","ST","10071",57.5,36.8702,-76.3529
"8","231-804","CC","10099",116,39.7668,-75.4238
"9","212-185","ST","10113",82,40.7903,-76.1983
"10","212-840","ST","10118",11,40.244242,-76.853872
"11","212-187","ST","10118",11,40.244242,-76.853872
"12","211-899","DS","10129",18.1,40.6144,-79.1594
"13","211-182","ST","10143",110,40.55,-78.8
"14","417-102","ST","10151",80,39.561831,-80.163138
"15","394-801","ST","10252",53.8,36.5489,-82.5667
"16","919-101","ST","10252",45,36.5489,-82.5667
"17","223-890","CC","10308",325.9,40.439,-74.3444
"18","246-184","ST","10343",43,40.811189,-76.452951
"19","328-601","ST","10377",46,37.2939,-77.2697
"20","328-600","ST","10377",46,37.2939,-77.2697
"21","303-131","ST","10380",30,34.647155,-78.64151
"22","303-132","ST","10382",30,34.59,-78.9968
"23","211-895","CC","10383",15,41.1405,-78.9632
"24","328-605","ST","10384",58,36.037318,-77.753345
"25","328-604","ST","10384",58,36.037318,-77.753345
"26","205-892","ST","10435",23,39.9092,-75.1169
"27","212-181","ST","10485",30,39.2845,-76.6207
"28","239-831","ST","10485",152,39.2845,-76.6207
"29","303-130","ST","10525",47,35.130193,-77.167883
"30","233-402","DS","10557",1,40.3753,-76.4154
"31","233-401","DS","10557",1,40.3753,-76.4154
"32","201-806","ST","10566",239.9,39.693494,-75.485811
"33","211-183","ST","10603",50,40.455,-78.7472
"34","205-897","CC","10616",27,40.5642,-74.9494
"35","294-805","ST","10629",57,39.266041,-76.629653
"36","508-852","CC","10633",400,37.291667,-77.281111
"37","211-181","ST","10641",88,40.474167,-78.7014
"38","281-866","ST","10643",65,40.7376,-74.1255
"39","249-101","ST","10676",125.1,40.657218,-80.353929
"40","417-650","ST","10678",180,39.595171,-78.745333
"41","212-188","ST","10731",8,41.3327,-77.024
"42","201-800","ST","10746",75,39.8265,-75.3882
"43","256-858","CC","10751",159,39.9175,-75.1192
"44","328-127","ST","10771",63,37.297834,-77.282982
"45","328-126","ST","10773",63,37.118674,-79.273551
"46","328-128","ST","10774",63,36.6525,-76.9953
"47","205-898","CC","10805",15,40.6781,-74.2744
"48","269-302","CT","10870",30,40.928161,-76.040929
"49","269-304","CT","10870",31.2,40.928161,-76.040929
"50","269-301","CT","10870",59,40.928161,-76.040929
"51","269-303","CT","10870",31,40.928161,-76.040929
"52","449-391","CT","1353",56,38.1707,-82.6176
"53","414-102","ST","1353",800,38.1707,-82.6176
"54","449-394","CT","1353",56,38.1707,-82.6176
"55","414-101","ST","1353",280,38.1707,-82.6176
"56","449-395","CT","1353",56,38.1707,-82.6176
"57","449-393","CT","1353",56,38.1707,-82.6176
"58","449-396","CT","1353",56,38.1707,-82.6176
"59","449-392","CT","1353",56,38.1707,-82.6176
"60","341-512","HD","1371",32,37.0217,-88.2211
"61","341-511","HD","1371",32,37.0217,-88.2211
"62","341-510","HD","1371",32,37.0217,-88.2211
"63","341-513","HD","1371",32,37.0217,-88.2211
"64","356-101","ST","1374",151,37.7942,-87.0608
"65","356-102","ST","1374",290,37.7942,-87.0608
"66","341-537","HD","1380",45,36.8691,-85.147
"67","341-536","HD","1380",45,36.8691,-85.147
"68","341-535","HD","1380",45,36.8691,-85.147
"69","341-532","HD","1380",45,36.8691,-85.147
"70","341-533","HD","1380",45,36.8691,-85.147
"71","341-534","HD","1380",45,36.8691,-85.147
"72","410-102","ST","1384",225,36.9981,-84.5919
"73","410-101","ST","1384",116,36.9981,-84.5919
"74","410-142","ST","1385",23,37.8806,-84.2619
"75","410-143","ST","1385",75,37.8806,-84.2619
"76","410-144","ST","1385",75,37.8806,-84.2619
"77","410-141","ST","1385",23,37.8806,-84.2619
"78","291-301","CT","1552",14,39.323604,-76.365119
"79","291-101","ST","1552",190,39.323604,-76.365119
"80","291-102","ST","1552",195,39.323604,-76.365119
"81","202-113","ST","1553",104,39.2663,-76.6047
"82","292-134","ST","1554",400,39.1781,-76.5268
"83","292-132","ST","1554",135,39.1781,-76.5268
"84","292-133","ST","1554",324,39.1781,-76.5268
"85","292-131","ST","1554",131,39.1781,-76.5268
"86","292-351","CT","1554",14,39.1781,-76.5268
"87","202-313","CT","1555",16,39.4217,-76.5087
"88","202-312","CT","1555",16,39.4217,-76.5087
"89","202-315","CT","1555",16,39.4217,-76.5087
"90","202-317","CT","1555",16,39.4217,-76.5087
"91","202-316","CT","1555",16,39.4217,-76.5087
"92","202-318","CT","1555",16,39.4217,-76.5087
"93","202-311","CT","1555",16,39.4217,-76.5087
"94","202-314","CT","1555",16,39.4217,-76.5087
"95","202-322","CT","1556",61,39.442836,-76.221761
"96","202-325","CT","1556",173,39.442836,-76.221761
"97","202-326","CT","1556",120,39.442836,-76.221761
"98","202-321","CT","1556",61,39.442836,-76.221761
"99","202-324","CT","1556",61,39.442836,-76.221761
"100","202-323","CT","1556",61,39.442836,-76.221761
"101","202-334","CT","1557",16,39.2986,-76.5636
"102","202-331","CT","1557",16,39.2986,-76.5636
"103","202-333","CT","1557",16,39.2986,-76.5636
"104","202-332","CT","1557",16,39.2986,-76.5636
"105","202-347","CT","1559",22,39.2369,-76.5133
"106","445-331","CT","1559",208,39.2369,-76.5133
"107","445-332","CT","1559",208,39.2369,-76.5133
"108","202-348","CT","1559",22,39.2369,-76.5133
"109","202-346","CT","1559",127,39.2369,-76.5133
"110","445-333","CT","1559",208,39.2369,-76.5133
"111","202-124","ST","1559",78,39.2369,-76.5133
"112","202-365","CT","1560",121,39.2719,-76.6186
"113","250-450","DS","1563",10,37.9833,-75.8333
"114","242-340","CT","1564",21,38.4878,-75.8208
"115","242-148","ST","1564",156,38.4878,-75.8208
"116","262-502","HD","1567",10,39.523,-79.413
"117","262-501","HD","1567",10,39.523,-79.413
"118","427-124","ST","1570",28,39.595,-77.82694
"119","427-125","ST","1570",88.1,39.595,-77.82694
"120","235-351","CT","1571",18,38.5444,-76.6861
"121","235-350","CT","1571",93,38.5444,-76.6861
"122","235-352","CT","1571",35,38.5444,-76.6861
"123","235-353","CT","1571",99,38.5444,-76.6861
"124","235-152","ST","1571",343,38.5444,-76.6861
"125","235-153","ST","1571",612,38.5444,-76.6861
"126","235-356","CT","1571",120,38.5444,-76.6861
"127","235-354","CT","1571",99,38.5444,-76.6861
"128","235-154","ST","1571",612,38.5444,-76.6861
"129","235-151","ST","1571",341,38.5444,-76.6861
"130","235-355","CT","1571",120,38.5444,-76.6861
"131","235-341","CT","1572",18,39.2097,-77.4644
"132","235-392","CT","1572",167,39.2097,-77.4644
"133","235-141","ST","1572",182,39.2097,-77.4644
"134","235-143","ST","1572",182,39.2097,-77.4644
"135","235-391","CT","1572",167,39.2097,-77.4644
"136","235-142","ST","1572",182,39.2097,-77.4644
"137","235-365","CT","1573",65,38.3592,-76.9767
"138","235-364","CT","1573",65,38.3592,-76.9767
"139","235-366","CT","1573",65,38.3592,-76.9767
"140","235-363","CT","1573",65,38.3592,-76.9767
"141","235-362","CT","1573",20,38.3592,-76.9767
"142","235-162","ST","1573",620,38.3592,-76.9767
"143","235-161","ST","1573",624,38.3592,-76.9767
"144","235-361","CT","1573",20,38.3592,-76.9767
"145","213-510","HD","1574",65,39.6572,-76.1752
"146","213-501","HD","1574",48,39.6572,-76.1752
"147","213-511","HD","1574",65,39.6572,-76.1752
"148","213-509","HD","1574",65,39.6572,-76.1752
"149","213-507","HD","1574",48,39.6572,-76.1752
"150","213-504","HD","1574",48,39.6572,-76.1752
"151","213-505","HD","1574",36,39.6572,-76.1752
"152","213-506","HD","1574",48,39.6572,-76.1752
"153","213-502","HD","1574",36,39.6572,-76.1752
"154","213-508","HD","1574",65,39.6572,-76.1752
"155","213-503","HD","1574",48,39.6572,-76.1752
"156","206-492","DS","1580",4.1,38.7786,-76.0769
"157","206-491","DS","1580",3.6,38.7786,-76.0769
"158","206-487","DS","1580",2,38.7786,-76.0769
"159","206-471","DS","1580",1.5,38.7786,-76.0769
"160","206-493","DS","1580",5.6,38.7786,-76.0769
"161","206-490","DS","1580",3.5,38.7786,-76.0769
"162","206-472","DS","1580",1.5,38.7786,-76.0769
"163","206-494","DS","1580",5.6,38.7786,-76.0769
"164","206-488","DS","1580",2,38.7786,-76.0769
"165","206-489","DS","1580",2.5,38.7786,-76.0769
"166","411-511","HD","1753",0.6,41.9439,-86.3289
"167","411-508","HD","1753",0.6,41.9439,-86.3289
"168","411-500","HD","1753",0.6,41.9439,-86.3289
"169","411-501","HD","1753",0.6,41.9439,-86.3289
"170","411-504","HD","1753",0.6,41.9439,-86.3289
"171","411-506","HD","1753",0.6,41.9439,-86.3289
"172","411-503","HD","1753",0.6,41.9439,-86.3289
"173","411-509","HD","1753",0.6,41.9439,-86.3289
"174","411-510","HD","1753",0.6,41.9439,-86.3289
"175","411-507","HD","1753",0.6,41.9439,-86.3289
"176","411-505","HD","1753",0.6,41.9439,-86.3289
"177","411-502","HD","1753",0.6,41.9439,-86.3289
"178","411-521","HD","1754",0.5,41.839566,-86.35105
"179","411-512","HD","1754",0.4,41.839566,-86.35105
"180","411-517","HD","1754",0.4,41.839566,-86.35105
"181","411-516","HD","1754",0.4,41.839566,-86.35105
"182","411-515","HD","1754",0.4,41.839566,-86.35105
"183","411-519","HD","1754",0.5,41.839566,-86.35105
"184","411-520","HD","1754",0.5,41.839566,-86.35105
"185","411-518","HD","1754",0.5,41.839566,-86.35105
"186","411-514","HD","1754",0.4,41.839566,-86.35105
"187","411-513","HD","1754",0.4,41.839566,-86.35105
"188","411-523","HD","1760",0.3,41.8436,-85.6694
"189","411-522","HD","1760",0.3,41.8436,-85.6694
"190","411-525","HD","1760",0.3,41.8436,-85.6694
"191","411-524","HD","1760",0.3,41.8436,-85.6694
"192","411-529","HD","1761",1,41.8056,-85.7505
"193","411-532","HD","1761",1,41.8056,-85.7505
"194","411-530","HD","1761",1,41.8056,-85.7505
"195","411-531","HD","1761",1,41.8056,-85.7505
"196","532-201","NU","204",1065.1,40.1719,-88.8339
"197","265-413","DS","2378",2,39.2908,-74.6364
"198","265-411","DS","2378",2,39.2908,-74.6364
"199","265-412","DS","2378",2,39.2908,-74.6364
"200","265-131","ST","2378",155,39.2908,-74.6364
"201","265-410","DS","2378",2,39.2908,-74.6364
"202","265-130","ST","2378",129,39.2908,-74.6364
"203","265-132","ST","2378",160,39.2908,-74.6364
"204","250-351","CT","2379",43,39.4547,-75.2014
"205","250-352","CT","2379",43,39.4547,-75.2014
"206","250-342","CT","2380",26,39.6893,-74.2618
"207","250-341","CT","2380",52,39.6893,-74.2618
"208","250-331","CT","2382",23,39.0269,-74.8772
"209","250-333","CT","2382",44,39.0269,-74.8772
"210","250-332","CT","2382",23,39.0269,-74.8772
"211","250-321","CT","2383",24,39.3662,-74.4441
"212","250-320","CT","2383",24,39.3662,-74.4441
"213","250-322","CT","2383",24,39.3662,-74.4441
"214","250-110","ST","2384",87,39.6831,-75.5083
"215","201-115","ST","2384",24,39.6831,-75.5083
"216","201-310","CT","2384",24,39.6831,-75.5083
"217","201-114","ST","2384",24,39.6831,-75.5083
"218","250-112","ST","2384",81,39.6831,-75.5083
"219","201-113","ST","2384",54,39.6831,-75.5083
"220","236-353","CT","2385",73,40.491236,-74.280989
"221","236-352","CT","2385",73,40.491236,-74.280989
"222","205-154","ST","2385",60,40.491236,-74.280989
"223","236-354","CT","2385",73,40.491236,-74.280989
"224","236-351","CT","2385",73,40.491236,-74.280989
"225","232-201","NU","2388",637,39.8143,-74.2062
"226","236-344","CT","2390",77,40.476525,-74.352336
"227","236-343","CT","2390",77,40.476525,-74.352336
"228","236-145","ST","2390",117,40.476525,-74.352336
"229","236-341","CT","2390",77,40.476525,-74.352336
"230","236-342","CT","2390",73,40.476525,-74.352336
"231","236-144","ST","2390",117,40.476525,-74.352336
"232","236-826","CC","2393",70,40.565833,-75.163889
"233","236-314","CT","2393",31,40.565833,-75.163889
"234","236-313","CT","2393",31,40.565833,-75.163889
"235","236-311","CT","2393",31,40.565833,-75.163889
"236","236-827","CC","2393",70,40.565833,-75.163889
"237","236-825","CC","2393",70,40.565833,-75.163889
"238","205-111","ST","2393",46,40.565833,-75.163889
"239","205-113","ST","2393",73,40.565833,-75.163889
"240","236-824","CC","2393",70,40.565833,-75.163889
"241","236-312","CT","2393",31,40.565833,-75.163889
"242","236-315","CT","2393",183,40.565833,-75.163889
"243","236-828","CC","2393",117.1,40.565833,-75.163889
"244","215-361","CT","2397",24,40.660833,-74.085278
"245","215-362","CT","2397",24,40.660833,-74.085278
"246","215-101","ST","2398",300,40.8375,-74.0244
"247","215-363","CT","2398",24,40.8375,-74.0244
"248","215-102","ST","2398",300,40.8375,-74.0244
"249","215-803","CC","2398",596,40.8375,-74.0244
"250","215-802","CC","2398",675,40.8375,-74.0244
"251","215-364","CT","2398",53,40.8375,-74.0244
"252","215-302","CT","2399",52,40.076611,-74.879172
"253","215-303","CT","2399",52,40.076611,-74.879172
"254","215-704","CT","2399",42,40.076611,-74.879172
"255","215-801","CC","2399",260,40.076611,-74.879172
"256","215-107","ST","2399",185,40.076611,-74.879172
"257","215-301","CT","2399",52,40.076611,-74.879172
"258","215-316","CT","2399",52,40.076611,-74.879172
"259","215-703","CT","2399",42,40.076611,-74.879172
"260","215-317","CT","2399",52,40.076611,-74.879172
"261","215-308","CT","2399",24,40.076611,-74.879172
"262","215-702","CT","2399",42,40.076611,-74.879172
"263","215-315","CT","2399",52,40.076611,-74.879172
"264","215-304","CT","2399",52,40.076611,-74.879172
"265","215-318","CT","2399",52,40.076611,-74.879172
"266","215-701","CT","2399",42,40.076611,-74.879172
"267","215-332","CT","2400",48,40.4911,-74.3956
"268","215-334","CT","2400",48,40.4911,-74.3956
"269","215-323","CT","2400",48,40.4911,-74.3956
"270","215-331","CT","2400",48,40.4911,-74.3956
"271","215-328","CT","2400",48,40.4911,-74.3956
"272","215-324","CT","2400",48,40.4911,-74.3956
"273","215-333","CT","2400",48,40.4911,-74.3956
"274","215-325","CT","2400",48,40.4911,-74.3956
"275","215-322","CT","2400",48,40.4911,-74.3956
"276","215-321","CT","2400",48,40.4911,-74.3956
"277","215-326","CT","2400",48,40.4911,-74.3956
"278","215-327","CT","2400",48,40.4911,-74.3956
"279","215-353","CT","2401",53,40.7372,-74.1206
"280","215-352","CT","2401",53,40.7372,-74.1206
"281","215-348","CT","2401",53,40.7372,-74.1206
"282","215-343","CT","2401",48,40.7372,-74.1206
"283","215-351","CT","2401",53,40.7372,-74.1206
"284","215-341","CT","2401",48,40.7372,-74.1206
"285","215-340","CT","2401",93,40.7372,-74.1206
"286","215-344","CT","2401",48,40.7372,-74.1206
"287","215-354","CT","2401",53,40.7372,-74.1206
"288","215-346","CT","2401",53,40.7372,-74.1206
"289","215-345","CT","2401",53,40.7372,-74.1206
"290","215-347","CT","2401",53,40.7372,-74.1206
"291","215-342","CT","2401",48,40.7372,-74.1206
"292","215-122","ST","2403",620,40.7478,-74.0722
"293","215-121","ST","2403",405,40.7478,-74.0722
"294","215-329","CT","2403",140,40.7478,-74.0722
"295","215-370","CT","2404",159,40.737283,-74.096464
"296","215-371","CT","2404",159,40.737283,-74.096464
"297","215-773","CT","2404",46.9,40.737283,-74.096464
"298","215-772","CT","2404",46.9,40.737283,-74.096464
"299","215-774","CT","2404",46.9,40.737283,-74.096464
"300","215-382","CT","2404",64,40.737283,-74.096464
"301","215-782","CT","2404",46.9,40.737283,-74.096464
"302","215-384","CT","2404",64,40.737283,-74.096464
"303","215-724","CT","2404",44,40.737283,-74.096464
"304","215-138","ST","2404",150,40.737283,-74.096464
"305","215-771","CT","2404",46.9,40.737283,-74.096464
"306","215-369","CT","2404",24,40.737283,-74.096464
"307","215-383","CT","2404",64,40.737283,-74.096464
"308","215-722","CT","2404",44,40.737283,-74.096464
"309","215-721","CT","2404",44,40.737283,-74.096464
