ZONE,Assigned_Zone,Frac_Load,wind_capacity_MW,solar_capacity_MW
DPL,EAST,0.18,0,100
AE,EAST,0,0,100
DOM,VA_DOM,0.165,0,400
PPL,PA_METED_PPL,0.087,0,200
METED,PA_METED_PPL,0,0,200
PENELEC,WEST,0,0,0
APS,WEST,0,0,0
SERC,VA_DOM,0,0,0
PSEG,EAST,0,0,100
BG&E,DC_BGE_PEP,0,0,200
JCPL,EAST,0,0,100
AEP,EAST,0,0,0
MISO,WEST,0,0,0
EKPC,WEST,0,0,0
PEPCO,DC_BGE_PEP,0.087,0,200
RE,EAST,0,0,0
DEOK,WEST,0,0,0
DAY,WEST,0,0,0
ATSI,WEST,0,368,0
DLCO,WEST,0,0,0
PECO,EAST,0,0,0
None,VA_DOM,0,0,0
COMED,WEST,0.481,8000,400
NYISO,WEST,0,0,0
